Stage,Project,Phase,Test Title,Outcome,Severity,Role,Notes
stage3-matrix-tablet-mobile,mobile,Phase 1,unknown route renders the 404 page (no crash),BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 1,invalid portal code shows controlled invalid-portal state with zero login API calls,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 2,legacy localStorage keys (access_token/user) do NOT authenticate,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 2,forged mpango-auth with invalid JWT is rejected by the backend,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 2,REAL mpango-auth format restores a wholesaler session (hydration),BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 2,REAL mpango-auth format restores a retailer session at /client,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 2,login form submits real credentials to the real API (request body audit),BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 2,legacy localStorage keys (access_token/user) do NOT authenticate,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 2,forged mpango-auth with invalid JWT is rejected by the backend,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 2,REAL mpango-auth format restores a wholesaler session (hydration),BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 2,REAL mpango-auth format restores a retailer session at /client,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 2,login form submits real credentials to the real API (request body audit),BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 3,wholesaler page / renders authenticated content,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 3,wholesaler page /orders renders authenticated content,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 3,wholesaler page /inventory renders authenticated content,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 3,wholesaler page /skus renders authenticated content,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 3,wholesaler page /retailers renders authenticated content,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 3,wholesaler page /finance renders authenticated content,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 3,wholesaler page /payments renders authenticated content,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 3,wholesaler page /declarations renders authenticated content,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 3,dashboard shows the app shell with user context,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 3,wholesaler cannot open retailer /client routes (boundary redirect),BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 3,logout returns to /login and clears the session,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 3,wholesaler page / renders authenticated content,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 3,wholesaler page /orders renders authenticated content,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 3,wholesaler page /inventory renders authenticated content,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 3,wholesaler page /skus renders authenticated content,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 3,wholesaler page /retailers renders authenticated content,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 3,wholesaler page /finance renders authenticated content,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 3,wholesaler page /payments renders authenticated content,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 3,wholesaler page /declarations renders authenticated content,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 3,dashboard shows the app shell with user context,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 3,wholesaler cannot open retailer /client routes (boundary redirect),BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 3,logout returns to /login and clears the session,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 4,retailer portal: catalog page renders supplier products incl. the setup SKU,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 4,retailer creates an order through the real API (journey precondition),BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 4,retailer orders page lists own orders via the browser,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 4,financial idempotency: repeated declaration with the same key produces ZERO extra writes,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 4,UI double-click on declare submit creates exactly one declaration (browser evidence),BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 4,retailer finance/payments/declarations pages render without errors,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 4,retailer print page issues NO mutating requests,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 4,retailer portal: catalog page renders supplier products incl. the setup SKU,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 4,retailer creates an order through the real API (journey precondition),BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 4,retailer orders page lists own orders via the browser,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 4,financial idempotency: repeated declaration with the same key produces ZERO extra writes,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 4,UI double-click on declare submit creates exactly one declaration (browser evidence),BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 4,retailer finance/payments/declarations pages render without errors,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 4,retailer print page issues NO mutating requests,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 5,cross-retailer: RB cannot read RA order by id (API isolation),BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 5,cross-tenant: W2 admin retailer list does NOT contain W1-only retailer RB,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 5,cross-tenant: RA W2-context cannot use W1-only data paths,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 5,malformed IDs return neutral structured errors (no internals leaked),BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 5,unauthenticated API access is rejected with structured 401 (no leak),BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 5,browser: RB portal session never exposes W2 tenant data,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 5,RB orders page contains no RA-created orders (page-level isolation),BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 5,cross-retailer: RB cannot read RA order by id (API isolation),BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 5,cross-tenant: W2 admin retailer list does NOT contain W1-only retailer RB,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 5,cross-tenant: RA W2-context cannot use W1-only data paths,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 5,malformed IDs return neutral structured errors (no internals leaked),BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 5,unauthenticated API access is rejected with structured 401 (no leak),BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 5,browser: RB portal session never exposes W2 tenant data,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
