node_id,category,root_cause_summary,independently_reproducible,suggested_work_package
tests.test_payments_schema_contract.TestLiveRetailerPricesContract::test_live_has_retailer_id_index,CONFIRMED_MIGRATION_GAP,G1: t_dev.retailer_prices DDL mismatch — wrong constraint names from old migration,YES,WP-MIG-G1-RETAILER
tests.test_payments_schema_contract.TestLiveRetailerPricesContract::test_live_has_sku_id,CONFIRMED_MIGRATION_GAP,G1: t_dev.retailer_prices DDL mismatch — wrong constraint names from old migration,YES,WP-MIG-G1-RETAILER
tests.test_payments_schema_contract.TestLiveRetailerPricesContract::test_live_has_sku_id_index,CONFIRMED_MIGRATION_GAP,G1: t_dev.retailer_prices DDL mismatch — wrong constraint names from old migration,YES,WP-MIG-G1-RETAILER
tests.test_payments_schema_contract.TestLiveRetailerPricesContract::test_live_has_unique_constraint,CONFIRMED_MIGRATION_GAP,G1: t_dev.retailer_prices DDL mismatch — wrong constraint names from old migration,YES,WP-MIG-G1-RETAILER
tests.test_payments_schema_contract.TestLiveRetailerPricesContract::test_live_is_deleted_not_null,CONFIRMED_MIGRATION_GAP,G1: t_dev.retailer_prices DDL mismatch — wrong constraint names from old migration,YES,WP-MIG-G1-RETAILER
tests.test_payments_schema_contract.TestLiveRetailerPricesContract::test_live_price_not_null,CONFIRMED_MIGRATION_GAP,G1: t_dev.retailer_prices DDL mismatch — wrong constraint names from old migration,YES,WP-MIG-G1-RETAILER
tests.test_payments_schema_contract.TestLiveRetailerPricesContract::test_live_retailer_id_not_null,CONFIRMED_MIGRATION_GAP,G1: t_dev.retailer_prices DDL mismatch — wrong constraint names from old migration,YES,WP-MIG-G1-RETAILER
tests.test_payments_schema_contract.TestLiveRetailerPricesContract::test_live_sku_id_not_null,CONFIRMED_MIGRATION_GAP,G1: t_dev.retailer_prices DDL mismatch — wrong constraint names from old migration,YES,WP-MIG-G1-RETAILER
tests.test_payments_schema_contract.TestLiveRetailerPricesContract::test_live_updated_at_not_null,CONFIRMED_MIGRATION_GAP,G1: t_dev.retailer_prices DDL mismatch — wrong constraint names from old migration,YES,WP-MIG-G1-RETAILER
tests.test_platform_p17dc_backup_registry_read.TestLoadBackupStatusMap::test_empty_tenant_ids,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p17dc_backup_registry_read.TestLoadBackupStatusMap::test_latest_completed_chosen_per_kind,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p17dc_backup_registry_read.TestLoadBackupStatusMap::test_load_map_performs_no_mutations,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p17dc_backup_registry_read.TestLoadBackupStatusMap::test_no_outcomes_yields_unknown_per_tenant,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p17dc_backup_registry_read.TestLoadBackupStatusMap::test_platform_wide_fallback_when_no_tenant_outcome,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p17dc_backup_registry_read.TestLoadBackupStatusMap::test_policy_tenant_then_platform_default,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p17dc_backup_registry_read.TestLoadBackupStatusMap::test_read_failure_returns_none,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p17dc_backup_registry_read.TestLoadBackupStatusMap::test_tenant_specific_preferred_over_platform_wide,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p17dc_backup_registry_read.TestRegistryAssembly::test_fresh_success_attached_to_registry,TEST_FIXTURE_ISOLATION,Cluster B: Stale backup outcome status assertion (stale vs success) — fixture date mock drift,YES,WP-FIXTURE-STALE-BACKUP
tests.test_platform_p17dc_backup_registry_read.TestRegistryAssembly::test_tenant_specific_wins_over_platform_at_registry,TEST_FIXTURE_ISOLATION,Cluster B: Stale backup outcome status assertion (stale vs success) — fixture date mock drift,YES,WP-FIXTURE-STALE-BACKUP
tests.test_platform_p21dd_runtime_storage_cutover_gate.TestDegradedPath::test_create_degraded_when_op_fails_after_readiness,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21dd_runtime_storage_cutover_gate.TestDurableDualControl::test_approve_denied_against_unknown_source,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21dd_runtime_storage_cutover_gate.TestDurableDualControl::test_maker_cannot_self_decide,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21dd_runtime_storage_cutover_gate.TestDurableDualControl::test_payload_approver_mismatch_denied,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21dd_runtime_storage_cutover_gate.TestDurableDualControl::test_quorum_requires_two_distinct_checkers,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21dd_runtime_storage_cutover_gate.TestDurableDualControl::test_reject_is_final,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21dd_runtime_storage_cutover_gate.TestDurableHappyPath::test_create_persists_to_durable_table,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21dd_runtime_storage_cutover_gate.TestDurableHappyPath::test_create_records_durable_and_no_execution,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21dd_runtime_storage_cutover_gate.TestDurableHappyPath::test_durable_list_filters_and_marks_durable,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21dd_runtime_storage_cutover_gate.TestDurableHappyPath::test_durable_read_not_found_returns_none,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21dd_runtime_storage_cutover_gate.TestDurableHappyPath::test_durable_read_returns_record,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21dd_runtime_storage_cutover_gate.TestDurableIdempotency::test_create_conflict_on_same_key_different_payload,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21dd_runtime_storage_cutover_gate.TestDurableIdempotency::test_create_key_digest_only_no_raw_in_db,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21dd_runtime_storage_cutover_gate.TestDurableIdempotency::test_duplicate_create_returns_original,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21dd_runtime_storage_cutover_gate.TestExplicitMemoryMode::test_memory_mode_uses_in_memory_store,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21dd_runtime_storage_cutover_gate.TestReadinessGate::test_ready_on_migrated_db,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21dd_runtime_storage_cutover_gate.TestReadinessGate::test_shell_schema_passes_table_count,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21dd_runtime_storage_cutover_gate.TestReadinessGate::test_storage_not_ready_when_schema_missing,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21dd_runtime_storage_cutover_gate.TestReadinessGate::test_unavailable_when_db_unreachable,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21dd_runtime_storage_cutover_gate.TestRestartSafety::test_create_survives_new_session,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21dd_runtime_storage_cutover_gate.TestStoreNotReady::test_create_raises_and_writes_no_memory,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21dd_runtime_storage_cutover_gate.TestStoreNotReady::test_decision_raises_and_writes_no_memory,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21dd_runtime_storage_cutover_gate.TestStoreNotReady::test_no_silent_memory_fallback_record_returned,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21dd_runtime_storage_cutover_gate.TestStoreNotReady::test_not_ready_leaks_no_raw_key_or_reason,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21dd_runtime_storage_cutover_gate.TestStoreNotReady::test_read_and_list_raise_when_not_ready,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21_durable_approval_adapter_implementation::test_audit_sequence_no_monotonic_across_restart,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21_durable_approval_adapter_implementation::test_conflict_checker_flip_is_rejected,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21_durable_approval_adapter_implementation::test_create_conflict_on_same_key_different_payload,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21_durable_approval_adapter_implementation::test_create_denials_persist_no_request_row,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21_durable_approval_adapter_implementation::test_create_idempotent_replay_returns_duplicate,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21_durable_approval_adapter_implementation::test_create_persists_request_audit_idempotency_and_no_execution,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21_durable_approval_adapter_implementation::test_decision_persists_checker_audit_idempotency,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21_durable_approval_adapter_implementation::test_duplicate_decision_same_checker_is_idempotent,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21_durable_approval_adapter_implementation::test_get_request_not_found,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21_durable_approval_adapter_implementation::test_list_requests_filters_and_pagination,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21_durable_approval_adapter_implementation::test_maker_checker_denies_self_decision_and_persists_nothing,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21_durable_approval_adapter_implementation::test_no_execution_invariant_across_lifecycle,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21_durable_approval_adapter_implementation::test_quorum_met_persists_approved_execution_blocked,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21_durable_approval_adapter_implementation::test_raw_idempotency_key_never_persisted,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21_durable_approval_adapter_implementation::test_raw_secret_reason_redacted_before_persistence,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21_durable_approval_adapter_implementation::test_reject_is_final_blocks_later_approve,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21_durable_approval_adapter_implementation::test_restart_safety_new_adapter_reads_back,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21_durable_approval_adapter_implementation::test_retention_and_export_methods_remain_deferred,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21_durable_approval_adapter_implementation::test_source_honesty_blocks_approve_against_unknown_source,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21_durable_approval_adapter_skeleton::test_no_new_alembic_migration_chained_on_020,SKELETON_TEST_RETIRED,Git diff-based contract test fails in detached worktree (no parent to diff against),NO,WP-SKELETON-WORKTREE
tests.test_platform_p21e_durable_approval_runtime_closeout.TestRestartSafetyCloseout::test_decision_reaches_quorum_across_restart_boundary,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p21e_durable_approval_runtime_closeout.TestRestartSafetyCloseout::test_list_finds_record_after_session_restart,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p22e1_runtime_governed_adapter_seam::test_backup_check_passes_preflight_only_as_a_non_executing_slot,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p22e1_runtime_governed_adapter_seam::test_preflight_blocks_on_idempotency_conflict,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p22e1_runtime_governed_adapter_seam::test_preflight_blocks_when_acknowledgement_missing,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p22e1_runtime_governed_adapter_seam::test_preflight_blocks_when_action_not_allowlisted,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p22e1_runtime_governed_adapter_seam::test_preflight_blocks_when_dry_run_missing_or_invalid,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p22e1_runtime_governed_adapter_seam::test_preflight_blocks_when_executor_not_identity_super_admin,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p22e1_runtime_governed_adapter_seam::test_preflight_blocks_when_idempotency_digest_missing,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p22e1_runtime_governed_adapter_seam::test_preflight_idempotency_replay_does_not_block_and_executes_nothing,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p22e1_runtime_governed_adapter_seam::test_preflight_passes_on_a_fully_valid_binding_but_realizes_no_execution,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p22e1_runtime_governed_adapter_seam::test_preflight_revalidates_approval_state_fail_closed,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p22e1_runtime_governed_adapter_seam::test_preflight_revalidates_target_tenant_binding,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p22e1_runtime_governed_adapter_seam::test_preflight_shape_does_not_leak_request_values,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p22e3_backup_check_source_probe.TestFailClosed::test_loader_returns_none_is_unavailable,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p22e3_backup_check_source_probe.TestFailClosed::test_read_exception_returns_unavailable_no_500,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p22e3_backup_check_source_probe.TestReadOnly::test_platform_wide_read_uses_platform_fallback,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p22e3_backup_check_source_probe.TestReadOnly::test_probe_performs_no_session_mutations,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p22e3_backup_check_source_probe.TestSourceMapping::test_failed_carries_allowlisted_reason_only,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p22e3_backup_check_source_probe.TestSourceMapping::test_fresh_success_is_known_readable_summary,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p22e3_backup_check_source_probe.TestSourceMapping::test_in_progress_is_degraded,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p22e3_backup_check_source_probe.TestSourceMapping::test_no_outcome_is_unknown_never_healthy,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p22e3_backup_check_source_probe.TestSourceMapping::test_partial_carries_allowlisted_reason_only,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p22e3_backup_check_source_probe.TestSourceMapping::test_raw_failure_reason_is_collapsed_to_unknown,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p22e3_backup_check_source_probe.TestSourceMapping::test_stale_success_is_stale_never_success,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p22g_governed_backup_check.TestAudit::test_audit_carries_execution_request_id,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p22g_governed_backup_check.TestAudit::test_audit_denial_for_missing_binding,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p22g_governed_backup_check.TestAudit::test_audit_failure_for_read_error,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p22g_governed_backup_check.TestInvariantsPreserved::test_e3_source_read_still_honest,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p22g_governed_backup_check.TestRequestBinding::test_mismatched_actor_blocks,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p22g_governed_backup_check.TestRequestBinding::test_mismatched_field_blocks,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p22g_governed_backup_check.TestRequestBinding::test_missing_execution_request_id_blocks,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p22g_governed_backup_check.TestRequestBinding::test_unknown_execution_request_id_blocks,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p22g_governed_backup_check.TestSourceMapping::test_fresh_success_succeeds,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p22g_governed_backup_check.TestSourceMapping::test_in_progress_completes_with_warning,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p22g_governed_backup_check.TestSourceMapping::test_no_source_unknown_never_healthy,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p22g_governed_backup_check.TestSourceMapping::test_partial_and_failed_carry_redacted_reason,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p22g_governed_backup_check.TestSourceMapping::test_read_failure_fail_closed,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p22g_governed_backup_check.TestSourceMapping::test_stale_completes_with_warning,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p22g_governed_backup_check.TestTenantScope::test_tenant_id_propagates,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p23_source_materialization.TestHonestyAndRedaction::test_backup_check_warning_never_displayed_as_success,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p23_source_materialization.TestHonestyAndRedaction::test_source_unknown_never_displayed_healthy,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p23_source_materialization.TestMaterializeAll::test_aggregates_across_sources_with_totals,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p23_source_materialization.TestMaterializeAll::test_fresh_backup_and_only_non_pending_approvals_creates_nothing,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
tests.test_platform_p23_source_materialization.TestMaterializeBackupCheck::test_degraded_creates_backup_check_warning_task,TEST_FIXTURE_ISOLATION,Cluster A: RuntimeError no current event loop in thread MainThread — pytest asyncio config,YES,WP-ASYNC-FIX
