v0_status,nodeid,test_file,classification,fresh_file_result,grouped_result,causal_matrix_result,evidence_id
failed,tests/test_u6d_verify_email_endpoint.py::test_reused_token_cannot_verify_twice,tests/test_u6d_verify_email_endpoint.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
failed,tests/test_u6d_verify_email_endpoint.py::test_token_for_non_pending_registration_does_not_regress_state,tests/test_u6d_verify_email_endpoint.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
failed,tests/test_u6d_verify_email_endpoint.py::test_verify_email_provisions_tenant_schema_without_admin_rbac_side_effects,tests/test_u6d_verify_email_endpoint.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
failed,tests/test_u6e0_onboarding_status_token_schema.py::test_no_onboarding_status_endpoint_or_runtime_route_added,tests/test_u6e0_onboarding_status_token_schema.py,STALE_TEST_CONTRACT,failed_stale_route_contract,failed_stale_route_contract,not_applicable,STALE-ROUTE-001
failed,tests/test_u6e_onboarding_status_endpoint.py::test_signup_creates_one_active_status_token_hash_for_new_registration,tests/test_u6e_onboarding_status_endpoint.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
error,tests/test_u6e_onboarding_status_endpoint.py::test_duplicate_live_email_neutral_signup_creates_no_new_status_token,tests/test_u6e_onboarding_status_endpoint.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
error,tests/test_u6e_onboarding_status_endpoint.py::test_idempotent_signup_retry_creates_no_duplicate_active_status_token,tests/test_u6e_onboarding_status_endpoint.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
failed,tests/test_u6e_onboarding_status_endpoint.py::test_valid_body_status_token_returns_pending_email_verification,tests/test_u6e_onboarding_status_endpoint.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
failed,tests/test_u6e_onboarding_status_endpoint.py::test_after_verify_email_valid_status_token_returns_active,tests/test_u6e_onboarding_status_endpoint.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
failed,tests/test_u6e_onboarding_status_endpoint.py::test_invalid_status_token_returns_neutral_failure_and_writes_nothing,tests/test_u6e_onboarding_status_endpoint.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
failed,tests/test_u6e_onboarding_status_endpoint.py::test_missing_status_token_returns_neutral_failure,tests/test_u6e_onboarding_status_endpoint.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
failed,tests/test_u6e_onboarding_status_endpoint.py::test_query_string_status_token_alone_fails_neutrally,tests/test_u6e_onboarding_status_endpoint.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
failed,tests/test_u6e_onboarding_status_endpoint.py::test_body_header_status_token_mismatch_fails_neutrally,tests/test_u6e_onboarding_status_endpoint.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
failed,tests/test_u6e_onboarding_status_endpoint.py::test_expired_or_revoked_status_token_fails_neutrally,tests/test_u6e_onboarding_status_endpoint.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
failed,tests/test_u6e_onboarding_status_endpoint.py::test_status_response_never_exposes_sensitive_internal_details,tests/test_u6e_onboarding_status_endpoint.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
failed,tests/test_u6e_onboarding_status_endpoint.py::test_onboarding_status_has_no_tenant_schema_users_roles_or_rbac_side_effects,tests/test_u6e_onboarding_status_endpoint.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
failed,tests/test_u6f_onboarding_auth_chain_closeout.py::test_end_to_end_signup_verify_status_happy_path_is_neutral_and_provisions_without_admin,tests/test_u6f_onboarding_auth_chain_closeout.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
error,tests/test_u6f_onboarding_auth_chain_closeout.py::test_duplicate_email_neutrality_creates_no_second_live_registration_or_status_token,tests/test_u6f_onboarding_auth_chain_closeout.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
error,tests/test_u6f_onboarding_auth_chain_closeout.py::test_idempotency_retry_and_conflict_do_not_create_duplicate_rows,tests/test_u6f_onboarding_auth_chain_closeout.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
error,tests/test_u6f_onboarding_auth_chain_closeout.py::test_token_transport_and_invalid_missing_expired_reused_fail_neutrally,tests/test_u6f_onboarding_auth_chain_closeout.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
failed,tests/test_u6f_onboarding_auth_chain_closeout.py::test_closeout_provisions_tenant_but_defers_admin_rbac_until_setup_credential,tests/test_u6f_onboarding_auth_chain_closeout.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
failed,tests/test_u6f_onboarding_auth_chain_closeout.py::test_route_policy_keeps_only_expected_onboarding_auth_routes_public,tests/test_u6f_onboarding_auth_chain_closeout.py,STALE_TEST_CONTRACT,failed_stale_allowlist_contract,failed_stale_allowlist_contract,not_applicable,STALE-ALLOWLIST-001
failed,tests/test_u6f_onboarding_auth_chain_closeout.py::test_migration_schema_sanity_for_u6f_closeout_gate,tests/test_u6f_onboarding_auth_chain_closeout.py,STALE_TEST_CONTRACT,failed_stale_head_contract,failed_stale_head_contract,not_applicable,STALE-HEAD-001
