index,status,expected_status,project,file,line,title,duration_ms,error
79,expected,passed,tablet,phase3-wholesaler.spec.ts,28,wholesaler page /orders renders authenticated content,1352,
80,expected,passed,tablet,phase3-wholesaler.spec.ts,28,wholesaler page /inventory renders authenticated content,1328,
81,expected,passed,tablet,phase3-wholesaler.spec.ts,28,wholesaler page /skus renders authenticated content,1343,
82,expected,passed,tablet,phase3-wholesaler.spec.ts,28,wholesaler page /retailers renders authenticated content,1351,
83,expected,passed,tablet,phase3-wholesaler.spec.ts,28,wholesaler page /finance renders authenticated content,1413,
84,expected,passed,tablet,phase3-wholesaler.spec.ts,28,wholesaler page /payments renders authenticated content,1363,
85,expected,passed,tablet,phase3-wholesaler.spec.ts,28,wholesaler page /declarations renders authenticated content,1345,
86,expected,passed,tablet,phase3-wholesaler.spec.ts,41,dashboard shows the app shell with user context,1322,
87,expected,passed,tablet,phase3-wholesaler.spec.ts,46,wholesaler cannot open retailer /client routes (boundary redirect),1273,
88,expected,passed,tablet,phase3-wholesaler.spec.ts,52,logout returns to /login and clears the session,1088,
89,expected,passed,mobile,phase3-wholesaler.spec.ts,28,wholesaler page / renders authenticated content,1317,
90,expected,passed,mobile,phase3-wholesaler.spec.ts,28,wholesaler page /orders renders authenticated content,1421,
91,expected,passed,mobile,phase3-wholesaler.spec.ts,28,wholesaler page /inventory renders authenticated content,1314,
92,expected,passed,mobile,phase3-wholesaler.spec.ts,28,wholesaler page /skus renders authenticated content,1355,
93,expected,passed,mobile,phase3-wholesaler.spec.ts,28,wholesaler page /retailers renders authenticated content,1327,
94,expected,passed,mobile,phase3-wholesaler.spec.ts,28,wholesaler page /finance renders authenticated content,1288,
95,expected,passed,mobile,phase3-wholesaler.spec.ts,28,wholesaler page /payments renders authenticated content,1314,
96,expected,passed,mobile,phase3-wholesaler.spec.ts,28,wholesaler page /declarations renders authenticated content,1222,
97,expected,passed,mobile,phase3-wholesaler.spec.ts,41,dashboard shows the app shell with user context,1346,
98,expected,passed,mobile,phase3-wholesaler.spec.ts,46,wholesaler cannot open retailer /client routes (boundary redirect),1311,
99,expected,passed,mobile,phase3-wholesaler.spec.ts,52,logout returns to /login and clears the session,1036,
100,expected,passed,desktop,phase4-retailer.spec.ts,44,retailer portal: catalog page renders supplier products incl. the setup SKU,2087,
101,expected,passed,desktop,phase4-retailer.spec.ts,53,retailer creates an order through the real API (journey precondition),94,
102,expected,passed,desktop,phase4-retailer.spec.ts,62,retailer orders page lists own orders via the browser,1201,
103,expected,passed,desktop,phase4-retailer.spec.ts,70,financial idempotency: repeated declaration with the same key produces ZERO extra writes,431,
104,expected,passed,desktop,phase4-retailer.spec.ts,118,UI double-click on declare submit creates exactly one declaration (browser evidence),7024,
105,expected,passed,desktop,phase4-retailer.spec.ts,153,retailer finance/payments/declarations pages render without errors,1672,
106,expected,passed,desktop,phase4-retailer.spec.ts,164,retailer print page issues NO mutating requests,3282,
107,expected,passed,tablet,phase4-retailer.spec.ts,44,retailer portal: catalog page renders supplier products incl. the setup SKU,2018,
108,expected,passed,tablet,phase4-retailer.spec.ts,53,retailer creates an order through the real API (journey precondition),73,
109,expected,passed,tablet,phase4-retailer.spec.ts,62,retailer orders page lists own orders via the browser,1223,
110,expected,passed,tablet,phase4-retailer.spec.ts,70,financial idempotency: repeated declaration with the same key produces ZERO extra writes,421,
111,expected,passed,tablet,phase4-retailer.spec.ts,118,UI double-click on declare submit creates exactly one declaration (browser evidence),7021,
112,expected,passed,tablet,phase4-retailer.spec.ts,153,retailer finance/payments/declarations pages render without errors,1710,
113,expected,passed,tablet,phase4-retailer.spec.ts,164,retailer print page issues NO mutating requests,3340,
114,expected,passed,mobile,phase4-retailer.spec.ts,44,retailer portal: catalog page renders supplier products incl. the setup SKU,1982,
115,expected,passed,mobile,phase4-retailer.spec.ts,53,retailer creates an order through the real API (journey precondition),61,
116,expected,passed,mobile,phase4-retailer.spec.ts,62,retailer orders page lists own orders via the browser,1196,
117,expected,passed,mobile,phase4-retailer.spec.ts,70,financial idempotency: repeated declaration with the same key produces ZERO extra writes,420,
118,expected,passed,mobile,phase4-retailer.spec.ts,118,UI double-click on declare submit creates exactly one declaration (browser evidence),6950,
119,expected,passed,mobile,phase4-retailer.spec.ts,153,retailer finance/payments/declarations pages render without errors,1752,
120,expected,passed,mobile,phase4-retailer.spec.ts,164,retailer print page issues NO mutating requests,3230,
121,expected,passed,desktop,phase5-isolation.spec.ts,15,cross-retailer: RB cannot read RA order by id (API isolation),1780,
122,expected,passed,desktop,phase5-isolation.spec.ts,49,cross-tenant: W2 admin retailer list does NOT contain W1-only retailer RB,412,
123,expected,passed,desktop,phase5-isolation.spec.ts,60,cross-tenant: RA W2-context cannot use W1-only data paths,675,
124,expected,passed,desktop,phase5-isolation.spec.ts,75,malformed IDs return neutral structured errors (no internals leaked),397,
125,expected,passed,desktop,phase5-isolation.spec.ts,86,unauthenticated API access is rejected with structured 401 (no leak),21,
126,expected,passed,desktop,phase5-isolation.spec.ts,103,browser: RB portal session never exposes W2 tenant data,2655,
127,expected,passed,desktop,phase5-isolation.spec.ts,112,RB orders page contains no RA-created orders (page-level isolation),6582,
128,expected,passed,tablet,phase5-isolation.spec.ts,15,cross-retailer: RB cannot read RA order by id (API isolation),1898,
129,expected,passed,tablet,phase5-isolation.spec.ts,49,cross-tenant: W2 admin retailer list does NOT contain W1-only retailer RB,426,
130,expected,passed,tablet,phase5-isolation.spec.ts,60,cross-tenant: RA W2-context cannot use W1-only data paths,704,
131,expected,passed,tablet,phase5-isolation.spec.ts,75,malformed IDs return neutral structured errors (no internals leaked),450,
132,expected,passed,tablet,phase5-isolation.spec.ts,86,unauthenticated API access is rejected with structured 401 (no leak),13,
133,expected,passed,tablet,phase5-isolation.spec.ts,103,browser: RB portal session never exposes W2 tenant data,2597,
134,expected,passed,tablet,phase5-isolation.spec.ts,112,RB orders page contains no RA-created orders (page-level isolation),4212,
135,expected,passed,mobile,phase5-isolation.spec.ts,15,cross-retailer: RB cannot read RA order by id (API isolation),1801,
136,expected,passed,mobile,phase5-isolation.spec.ts,49,cross-tenant: W2 admin retailer list does NOT contain W1-only retailer RB,470,
137,expected,passed,mobile,phase5-isolation.spec.ts,60,cross-tenant: RA W2-context cannot use W1-only data paths,732,
138,expected,passed,mobile,phase5-isolation.spec.ts,75,malformed IDs return neutral structured errors (no internals leaked),456,
139,expected,passed,mobile,phase5-isolation.spec.ts,86,unauthenticated API access is rejected with structured 401 (no leak),14,
140,expected,passed,mobile,phase5-isolation.spec.ts,103,browser: RB portal session never exposes W2 tenant data,2449,
141,expected,passed,mobile,phase5-isolation.spec.ts,112,RB orders page contains no RA-created orders (page-level isolation),4119,
142,expected,passed,desktop,phase6-responsive.spec.ts,17,wholesaler dashboard: no horizontal overflow  no console/page errors,1109,
143,expected,passed,desktop,phase6-responsive.spec.ts,25,wholesaler orders page: no horizontal overflow,1377,
144,expected,passed,desktop,phase6-responsive.spec.ts,32,retailer catalog: no horizontal overflow  no console/page errors,922,
145,expected,passed,desktop,phase6-responsive.spec.ts,40,retailer orders page: no horizontal overflow,1209,
146,expected,passed,desktop,phase6-responsive.spec.ts,47,login forms have labels and keyboard-accessible inputs,476,
147,expected,passed,desktop,phase6-responsive.spec.ts,60,no unexpected network failures during a login journey,1007,
148,expected,passed,desktop,phase6-responsive.spec.ts,68,print stub: window.print callable on print pages without errors,2885,
149,expected,passed,tablet,phase6-responsive.spec.ts,17,wholesaler dashboard: no horizontal overflow  no console/page errors,1100,
150,expected,passed,tablet,phase6-responsive.spec.ts,25,wholesaler orders page: no horizontal overflow,1379,
151,expected,passed,tablet,phase6-responsive.spec.ts,32,retailer catalog: no horizontal overflow  no console/page errors,936,
152,expected,passed,tablet,phase6-responsive.spec.ts,40,retailer orders page: no horizontal overflow,1220,
153,expected,passed,tablet,phase6-responsive.spec.ts,47,login forms have labels and keyboard-accessible inputs,489,
154,expected,passed,tablet,phase6-responsive.spec.ts,60,no unexpected network failures during a login journey,1038,
155,expected,passed,tablet,phase6-responsive.spec.ts,68,print stub: window.print callable on print pages without errors,2792,
156,expected,passed,mobile,phase6-responsive.spec.ts,17,wholesaler dashboard: no horizontal overflow  no console/page errors,1046,
157,expected,passed,mobile,phase6-responsive.spec.ts,25,wholesaler orders page: no horizontal overflow,1371,
158,expected,passed,mobile,phase6-responsive.spec.ts,32,retailer catalog: no horizontal overflow  no console/page errors,870,
159,expected,passed,mobile,phase6-responsive.spec.ts,40,retailer orders page: no horizontal overflow,1271,
160,expected,passed,mobile,phase6-responsive.spec.ts,47,login forms have labels and keyboard-accessible inputs,528,
161,expected,passed,mobile,phase6-responsive.spec.ts,60,no unexpected network failures during a login journey,1010,
162,expected,passed,mobile,phase6-responsive.spec.ts,68,print stub: window.print callable on print pages without errors,2809,
