finding_id,phase,category,severity,description,evidence,status
F25,Phase 3,Implementation Authenticity,INFO,"F5 original no-mail/no-token negative postcondition not weakened","F5 still executes negativeWindowHasLink and asserts !mailAppeared",PASS
F26,Phase 3,Implementation Authenticity,INFO,"24 browser + 5 non-browser = 29, node names and order unchanged","inventory CSV 29 rows; --list ordered-equal",PASS
F27,Phase 3,Implementation Authenticity,INFO,"serial, workers=1, retries=0, maxFailures=1 unchanged","playwright.config.ts explicit declarations; validate-static.mjs checks",PASS
F28,Phase 3,Implementation Authenticity,INFO,"R12 application-settle, RT0 BLOCKED_BY_H2_C, LF contract unchanged","R12: waitForFunction + toBeEditable; RT0: BLOCKED_BY_H2_C; .gitattributes: eol=lf",PASS
F29,Phase 4,Dual-Host Runtime,INFO,"Kilo Windows: pnpm install PASSED","Exact pins: @playwright/test 1.49.1 / @types/node 22.10.5 / typescript 5.7.3",PASS
F30,Phase 4,Dual-Host Runtime,INFO,"Kilo Windows: playwright --list PASSED","24 tests in 1 file, ordered-equal with inventory browser rows",PASS
F31,Phase 4,Dual-Host Runtime,INFO,"Kilo Windows: check-neutrality.mjs PASSED","G1-G6 all PASSED",PASS
F32,Phase 4,Dual-Host Runtime,INFO,"Kilo Windows: validate-static.mjs PASSED","7/7 steps PASSED including B1-R3 neutrality contracts",PASS
F33,Phase 4,Dual-Host Runtime,INFO,"Kilo Windows: tsc --noEmit PASSED","Zero diagnostics",PASS
F34,Phase 4,Dual-Host Runtime,INFO,"Lubuntu Linux: pnpm install PASSED","Exact pins verified on native Linux",PASS
F35,Phase 4,Dual-Host Runtime,INFO,"Lubuntu Linux: playwright --list PASSED","24 tests in 1 file, ordered-equal with inventory browser rows",PASS
F36,Phase 4,Dual-Host Runtime,INFO,"Lubuntu Linux: check-neutrality.mjs PASSED","G1-G6 all PASSED",PASS
F37,Phase 4,Dual-Host Runtime,INFO,"Lubuntu Linux: validate-static.mjs PASSED","7/7 steps PASSED",PASS
F38,Phase 4,Dual-Host Runtime,INFO,"Lubuntu Linux: tsc --noEmit PASSED","Zero diagnostics",PASS
F39,Phase 4,Dual-Host Runtime,INFO,"EOL portability closed: LF on both Windows and Linux",".gitattributes '* text=auto eol=lf' enforces LF checkout regardless of core.autocrlf",PASS
F40,Phase 4,Dual-Host Runtime,INFO,"UTF-8/no-BOM/no-CR on 25 harness files (Kilo Windows)","All 25 files strict UTF-8, no BOM, no CR bytes",PASS
F41,Phase 4,Dual-Host Runtime,INFO,"UTF-8/no-BOM/no-CR on 25 harness files (Lubuntu Linux)","All 25 files strict UTF-8, no BOM, no CR bytes",PASS
F42,Phase 5,Mutation Gates,INFO,"M1: Restore raw-body SHA comparison → RED","G1: envelopes differing only in timestamp value must be canonically equal",PASS
F43,Phase 5,Mutation Gates,INFO,"M2: Delete message from canonical payload → RED","G2: a differing message must break canonical equality",PASS
F44,Phase 5,Mutation Gates,INFO,"M3: Allow arbitrary volatile keys → RED","G3: added top-level key probe must be rejected (accountExists/eligible/userId/tenant/request_id)",PASS
F45,Phase 5,Mutation Gates,INFO,"M4: Skip timestamp validation → RED","G4: non-string/unparseable/empty timestamp must be rejected",PASS
F46,Phase 5,Mutation Gates,INFO,"M5: Delete F5 canonical equality → RED","F5 must assert canonical response equality against F3",PASS
F47,Phase 5,Mutation Gates,INFO,"M6: Write raw body/timestamp to error output → RED","G6: failure/error output must never contain envelope content (leak marker found)",PASS
F48,Phase 5,Mutation Gates,INFO,"Restore candidate bytes match original SHA","git status clean; HEAD = 8c7e8477",PASS
F49,Phase 5,Mutation Gates,INFO,"All static gates re-GREEN after restore","validate-static.mjs 7/7 PASSED; check-neutrality.mjs G1-G6 PASSED",PASS
F50,Phase 6,Secret Evidence,INFO,"Credentials from J1H2B_* env vars, missing fail closed naming variable only","loadJourneyEnv → requireAll; error messages never echo values",PASS
F51,Phase 6,Secret Evidence,INFO,"Maildir token in-memory only, never disk/log/artifact","src/maildir.ts + src/token-store.ts comments; trace/screenshot/video off",PASS
F52,Phase 6,Secret Evidence,INFO,"JSON/JUnit/list/errors omit token/password/Authorization/fragment/response body","assertSan field-only messages; leak-scan.ts reports surface+field only",PASS
F53,Phase 6,Secret Evidence,INFO,"Artifact scanner covers R13 expected outputs","tools/scan-artifacts.mjs scans machine JSON, JUnit, CSV, logs, screenshots",PASS
