review_id,category,check_id,subject,status,evidence,verdict_impact
DC-12R1-H4-R2-V1,Evidence,EV-01,two exact runs 3116/48/15/0/0,PASS,Run#1 3116 passed 48 skipped 15 xfailed 0 failed 0 errors; Run#2 identical,None
DC-12R1-H4-R2-V1,Evidence,EV-02,Run A and Run B totals identical,PASS,comparison table: Passed/Failed/Errors/Skipped/Xfailed all YES,None
DC-12R1-H4-R2-V1,Evidence,EV-03,Lubuntu GitNexus unavailability disclosed,PASS,UNAVAILABLE marked; MCP server timed out on startup; No substitution attempted,None
DC-12R1-H4-R2-V1,Evidence,EV-04,CTO GitNexus attributed to CTO env + a4176a5,PASS,CTO review environment; source SHA a4176a5; not executed by Lubuntu,None
DC-12R1-H4-R2-V1,Evidence,EV-05,report-only commit 90bd3b4 no new runtime claim,PASS,90bd3b4 touches only r2 ledger md; No Full-Suite Rerun Required,None
DC-12R1-H4-R2-V1,Evidence,EV-06,old H4-R2 verdict marked superseded,PASS,Original H4-R2 Verdict (Corrected/Superseded by R2-R1); inaccurate acknowledged,None
DC-12R1-H4-R2-V1,Evidence,EV-07,authoritative verdict present,PASS,final verdict = PASS_FOR_CTO_DC12R1_H4_R2_R1_MERGE_REVIEW,None
DC-12R1-H4-R2-V1,Evidence,EV-08,no evidence misattribution,PASS,runtime 3116 evidence anchored to a4176a5 not 90bd3b4; CTO GitNexus to CTO env,None
DC-12R1-H4-R2-V1,Gate,GATE-01,py_compile changed test files,PASS,3/3 files pass python -m py_compile,None
DC-12R1-H4-R2-V1,Gate,GATE-02,git diff --check,PASS,exit 0 baseline->target and per-commit,None
DC-12R1-H4-R2-V1,Gate,GATE-03,scoped pre-commit,PASS,trailing-ws/eof/large-files/detect-secrets all Passed,None
DC-12R1-H4-R2-V1,Gate,GATE-04,detect-secrets zero findings,PASS,0 findings per file; 0 findings in 159 added diff lines,None
DC-12R1-H4-R2-V1,Gate,GATE-05,GitNexus analyze/status at target,PASS,14269 nodes 44213 edges 922 clusters 300 flows; indexed 90bd3b4 up-to-date,None
DC-12R1-H4-R2-V1,Gate,GATE-06,GitNexus detect_changes vs 9528cb6,PASS,5 files all test+ledger; 0 product; matches ledger,None
DC-12R1-H4-R2-V1,Gate,GATE-07,GitNexus detect_changes vs f031e033,PASS,2 files (s1_r5 test + ledger); matches CTO ledger exactly,None
DC-12R1-H4-R2-V1,Gate,GATE-08,GitNexus impact modified functions,PASS,all modified fns LOW risk 0 callers 0 affected,None
DC-12R1-H4-R2-V1,Gate,GATE-09,runtime H4+exact-036 in disposable env,PASS-BLOCKED,no local PG16/Redis7/TEST_DATABASE_URL; tests hard-require live DB; not substituted for Lubuntu evidence,None
DC-12R1-H4-R2-V1,Gate,GATE-10,no split-suite substitution,PASS,authoritative Lubuntu exact-suite evidence (3116/0/0 x2) retained; no partial run claimed,None
