"idx","project","file","line","title","status","category","error_excerpt"
"39","tablet","phase1-routes.spec.ts","32","retailer /client routes redirect anonymous users to retailer portal or /login","passed","",""
"40","tablet","phase1-routes.spec.ts","37","/client/login alias redirects to /retail/login preserving w","passed","",""
"41","tablet","phase1-routes.spec.ts","42","public auth pages are reachable anonymously","passed","",""
"42","tablet","phase1-routes.spec.ts","54","unknown route renders the 404 page (no crash)","passed","",""
"43","tablet","phase1-routes.spec.ts","59","invalid portal code shows controlled invalid-portal state with zero login API calls","passed","",""
"44","mobile","phase1-routes.spec.ts","10","backend health endpoints are 200 (live/ready)","passed","",""
"45","mobile","phase1-routes.spec.ts","17","frontend serves the SPA shell","passed","",""
"46","mobile","phase1-routes.spec.ts","24","wholesaler routes redirect anonymous users to /login","passed","",""
"47","mobile","phase1-routes.spec.ts","32","retailer /client routes redirect anonymous users to retailer portal or /login","passed","",""
"48","mobile","phase1-routes.spec.ts","37","/client/login alias redirects to /retail/login preserving w","passed","",""
"49","mobile","phase1-routes.spec.ts","42","public auth pages are reachable anonymously","passed","",""
"50","mobile","phase1-routes.spec.ts","54","unknown route renders the 404 page (no crash)","passed","",""
"51","mobile","phase1-routes.spec.ts","59","invalid portal code shows controlled invalid-portal state with zero login API calls","passed","",""
"52","desktop","phase2-identity.spec.ts","14","legacy localStorage keys (access_token/user) do NOT authenticate","passed","",""
"53","desktop","phase2-identity.spec.ts","28","forged mpango-auth with invalid JWT is rejected by the backend","passed","",""
"54","desktop","phase2-identity.spec.ts","42","REAL mpango-auth format restores a wholesaler session (hydration)","passed","",""
"55","desktop","phase2-identity.spec.ts","65","REAL mpango-auth format restores a retailer session at /client","passed","",""
"56","desktop","phase2-identity.spec.ts","86","login form submits real credentials to the real API (request body audit)","passed","",""
"57","tablet","phase2-identity.spec.ts","14","legacy localStorage keys (access_token/user) do NOT authenticate","passed","",""
"58","tablet","phase2-identity.spec.ts","28","forged mpango-auth with invalid JWT is rejected by the backend","passed","",""
"59","tablet","phase2-identity.spec.ts","42","REAL mpango-auth format restores a wholesaler session (hydration)","passed","",""
"60","tablet","phase2-identity.spec.ts","65","REAL mpango-auth format restores a retailer session at /client","passed","",""
"61","tablet","phase2-identity.spec.ts","86","login form submits real credentials to the real API (request body audit)","passed","",""
"62","mobile","phase2-identity.spec.ts","14","legacy localStorage keys (access_token/user) do NOT authenticate","passed","",""
"63","mobile","phase2-identity.spec.ts","28","forged mpango-auth with invalid JWT is rejected by the backend","passed","",""
"64","mobile","phase2-identity.spec.ts","42","REAL mpango-auth format restores a wholesaler session (hydration)","passed","",""
"65","mobile","phase2-identity.spec.ts","65","REAL mpango-auth format restores a retailer session at /client","passed","",""
"66","mobile","phase2-identity.spec.ts","86","login form submits real credentials to the real API (request body audit)","passed","",""
"67","desktop","phase3-wholesaler.spec.ts","28","wholesaler page / renders authenticated content","passed","",""
"68","desktop","phase3-wholesaler.spec.ts","28","wholesaler page /orders renders authenticated content","passed","",""
"69","desktop","phase3-wholesaler.spec.ts","28","wholesaler page /inventory renders authenticated content","passed","",""
"70","desktop","phase3-wholesaler.spec.ts","28","wholesaler page /skus renders authenticated content","passed","",""
"71","desktop","phase3-wholesaler.spec.ts","28","wholesaler page /retailers renders authenticated content","passed","",""
"72","desktop","phase3-wholesaler.spec.ts","28","wholesaler page /finance renders authenticated content","passed","",""
"73","desktop","phase3-wholesaler.spec.ts","28","wholesaler page /payments renders authenticated content","passed","",""
"74","desktop","phase3-wholesaler.spec.ts","28","wholesaler page /declarations renders authenticated content","passed","",""
"75","desktop","phase3-wholesaler.spec.ts","41","dashboard shows the app shell with user context","passed","",""
"76","desktop","phase3-wholesaler.spec.ts","46","wholesaler cannot open retailer /client routes (boundary redirect)","passed","",""
"77","desktop","phase3-wholesaler.spec.ts","52","logout returns to /login and clears the session","passed","",""
"78","tablet","phase3-wholesaler.spec.ts","28","wholesaler page / renders authenticated content","passed","",""
"79","tablet","phase3-wholesaler.spec.ts","28","wholesaler page /orders renders authenticated content","passed","",""
"80","tablet","phase3-wholesaler.spec.ts","28","wholesaler page /inventory renders authenticated content","passed","",""
"81","tablet","phase3-wholesaler.spec.ts","28","wholesaler page /skus renders authenticated content","passed","",""
"82","tablet","phase3-wholesaler.spec.ts","28","wholesaler page /retailers renders authenticated content","passed","",""
"83","tablet","phase3-wholesaler.spec.ts","28","wholesaler page /finance renders authenticated content","passed","",""
"84","tablet","phase3-wholesaler.spec.ts","28","wholesaler page /payments renders authenticated content","passed","",""
"85","tablet","phase3-wholesaler.spec.ts","28","wholesaler page /declarations renders authenticated content","passed","",""
"86","tablet","phase3-wholesaler.spec.ts","41","dashboard shows the app shell with user context","passed","",""
"87","tablet","phase3-wholesaler.spec.ts","46","wholesaler cannot open retailer /client routes (boundary redirect)","passed","",""
"88","tablet","phase3-wholesaler.spec.ts","52","logout returns to /login and clears the session","passed","",""
"89","mobile","phase3-wholesaler.spec.ts","28","wholesaler page / renders authenticated content","passed","",""
"90","mobile","phase3-wholesaler.spec.ts","28","wholesaler page /orders renders authenticated content","passed","",""
"91","mobile","phase3-wholesaler.spec.ts","28","wholesaler page /inventory renders authenticated content","passed","",""
"92","mobile","phase3-wholesaler.spec.ts","28","wholesaler page /skus renders authenticated content","passed","",""
"93","mobile","phase3-wholesaler.spec.ts","28","wholesaler page /retailers renders authenticated content","passed","",""
"94","mobile","phase3-wholesaler.spec.ts","28","wholesaler page /finance renders authenticated content","passed","",""
"95","mobile","phase3-wholesaler.spec.ts","28","wholesaler page /payments renders authenticated content","passed","",""
"96","mobile","phase3-wholesaler.spec.ts","28","wholesaler page /declarations renders authenticated content","passed","",""
"97","mobile","phase3-wholesaler.spec.ts","41","dashboard shows the app shell with user context","passed","",""
"98","mobile","phase3-wholesaler.spec.ts","46","wholesaler cannot open retailer /client routes (boundary redirect)","passed","",""
"99","mobile","phase3-wholesaler.spec.ts","52","logout returns to /login and clears the session","passed","",""
"100","desktop","phase4-retailer.spec.ts","44","retailer portal: catalog page renders supplier products incl. the setup SKU","passed","",""
"101","desktop","phase4-retailer.spec.ts","53","retailer creates an order through the real API (journey precondition)","passed","",""
"102","desktop","phase4-retailer.spec.ts","62","retailer orders page lists own orders via the browser","passed","",""
"103","desktop","phase4-retailer.spec.ts","70","financial idempotency: repeated declaration with the same key produces ZERO extra writes","failed","F6_canonical_harness_invalid_declaration_method","Error: first declare ({""code"":""DECLARATION_METHOD_INVALID"",""message"":""Declaration method must be one of: cash, transfer"",""request_id"":""bb9b3142-cbd7-46ed-9d2f-a8518a7b9f4a""}) [2mexpect([22m[31mrece"
"104","desktop","phase4-retailer.spec.ts","118","UI double-click on declare submit creates exactly one declaration (browser evidence)","failed","F6_canonical_harness_invalid_declaration_method","Error: [2mexpect([22m[31mreceived[39m[2m).[22mtoBe[2m([22m[32mexpected[39m[2m) // Object.is equality[22m Expected: [32m1[39m Received: [31m0[39m 147 | const after = await apiGet('/clie"
"105","desktop","phase4-retailer.spec.ts","152","retailer finance/payments/declarations pages render without errors","passed","",""
"106","desktop","phase4-retailer.spec.ts","163","retailer print page issues NO mutating requests","passed","",""
"107","tablet","phase4-retailer.spec.ts","44","retailer portal: catalog page renders supplier products incl. the setup SKU","passed","",""
"108","tablet","phase4-retailer.spec.ts","53","retailer creates an order through the real API (journey precondition)","passed","",""
"109","tablet","phase4-retailer.spec.ts","62","retailer orders page lists own orders via the browser","passed","",""
"110","tablet","phase4-retailer.spec.ts","70","financial idempotency: repeated declaration with the same key produces ZERO extra writes","failed","F6_canonical_harness_invalid_declaration_method","Error: first declare ({""code"":""DECLARATION_METHOD_INVALID"",""message"":""Declaration method must be one of: cash, transfer"",""request_id"":""50fa410f-abc6-40e7-9104-11bcc77a6eed""}) [2mexpect([22m[31mrece"
"111","tablet","phase4-retailer.spec.ts","118","UI double-click on declare submit creates exactly one declaration (browser evidence)","failed","F6_canonical_harness_invalid_declaration_method","Error: [2mexpect([22m[31mreceived[39m[2m).[22mtoBe[2m([22m[32mexpected[39m[2m) // Object.is equality[22m Expected: [32m1[39m Received: [31m0[39m 147 | const after = await apiGet('/clie"
"112","tablet","phase4-retailer.spec.ts","152","retailer finance/payments/declarations pages render without errors","passed","",""
"113","tablet","phase4-retailer.spec.ts","163","retailer print page issues NO mutating requests","passed","",""
"114","mobile","phase4-retailer.spec.ts","44","retailer portal: catalog page renders supplier products incl. the setup SKU","passed","",""
"115","mobile","phase4-retailer.spec.ts","53","retailer creates an order through the real API (journey precondition)","passed","",""
"116","mobile","phase4-retailer.spec.ts","62","retailer orders page lists own orders via the browser","passed","",""
"117","mobile","phase4-retailer.spec.ts","70","financial idempotency: repeated declaration with the same key produces ZERO extra writes","failed","F6_canonical_harness_invalid_declaration_method","Error: first declare ({""code"":""DECLARATION_METHOD_INVALID"",""message"":""Declaration method must be one of: cash, transfer"",""request_id"":""157b0dfa-919b-47b8-9f1c-3d2d901ae7e7""}) [2mexpect([22m[31mrece"
"118","mobile","phase4-retailer.spec.ts","118","UI double-click on declare submit creates exactly one declaration (browser evidence)","failed","F6_canonical_harness_invalid_declaration_method","Error: [2mexpect([22m[31mreceived[39m[2m).[22mtoBe[2m([22m[32mexpected[39m[2m) // Object.is equality[22m Expected: [32m1[39m Received: [31m0[39m 147 | const after = await apiGet('/clie"
"119","mobile","phase4-retailer.spec.ts","152","retailer finance/payments/declarations pages render without errors","passed","",""
"120","mobile","phase4-retailer.spec.ts","163","retailer print page issues NO mutating requests","passed","",""
"121","desktop","phase5-isolation.spec.ts","15","cross-retailer: RB cannot read RA order by id (API isolation)","passed","",""
"122","desktop","phase5-isolation.spec.ts","49","cross-tenant: W2 admin retailer list does NOT contain W1-only retailer RB","passed","",""
"123","desktop","phase5-isolation.spec.ts","60","cross-tenant: RA W2-context cannot use W1-only data paths","passed","",""
"124","desktop","phase5-isolation.spec.ts","75","malformed IDs return neutral structured errors (no internals leaked)","passed","",""
"125","desktop","phase5-isolation.spec.ts","86","unauthenticated API access is rejected with structured 401 (no leak)","passed","",""
"126","desktop","phase5-isolation.spec.ts","103","browser: RB portal session never exposes W2 tenant data","passed","",""
"127","desktop","phase5-isolation.spec.ts","112","RB orders page contains no RA-created orders (page-level isolation)","passed","",""
"128","tablet","phase5-isolation.spec.ts","15","cross-retailer: RB cannot read RA order by id (API isolation)","passed","",""
"129","tablet","phase5-isolation.spec.ts","49","cross-tenant: W2 admin retailer list does NOT contain W1-only retailer RB","passed","",""
"130","tablet","phase5-isolation.spec.ts","60","cross-tenant: RA W2-context cannot use W1-only data paths","passed","",""
"131","tablet","phase5-isolation.spec.ts","75","malformed IDs return neutral structured errors (no internals leaked)","passed","",""
"132","tablet","phase5-isolation.spec.ts","86","unauthenticated API access is rejected with structured 401 (no leak)","passed","",""
"133","tablet","phase5-isolation.spec.ts","103","browser: RB portal session never exposes W2 tenant data","passed","",""
"134","tablet","phase5-isolation.spec.ts","112","RB orders page contains no RA-created orders (page-level isolation)","passed","",""
"135","mobile","phase5-isolation.spec.ts","15","cross-retailer: RB cannot read RA order by id (API isolation)","passed","",""
"136","mobile","phase5-isolation.spec.ts","49","cross-tenant: W2 admin retailer list does NOT contain W1-only retailer RB","passed","",""
"137","mobile","phase5-isolation.spec.ts","60","cross-tenant: RA W2-context cannot use W1-only data paths","passed","",""
"138","mobile","phase5-isolation.spec.ts","75","malformed IDs return neutral structured errors (no internals leaked)","passed","",""
"139","mobile","phase5-isolation.spec.ts","86","unauthenticated API access is rejected with structured 401 (no leak)","passed","",""
"140","mobile","phase5-isolation.spec.ts","103","browser: RB portal session never exposes W2 tenant data","passed","",""
"141","mobile","phase5-isolation.spec.ts","112","RB orders page contains no RA-created orders (page-level isolation)","passed","",""
"142","desktop","phase6-responsive.spec.ts","17","wholesaler dashboard: no horizontal overflow, no console/page errors","passed","",""
"143","desktop","phase6-responsive.spec.ts","25","wholesaler orders page: no horizontal overflow","passed","",""
"144","desktop","phase6-responsive.spec.ts","32","retailer catalog: no horizontal overflow, no console/page errors","passed","",""
"145","desktop","phase6-responsive.spec.ts","40","retailer orders page: no horizontal overflow","passed","",""
"146","desktop","phase6-responsive.spec.ts","47","login forms have labels and keyboard-accessible inputs","passed","",""
"147","desktop","phase6-responsive.spec.ts","60","no unexpected network failures during a login journey","passed","",""
"148","desktop","phase6-responsive.spec.ts","68","print stub: window.print callable on print pages without errors","passed","",""
"149","tablet","phase6-responsive.spec.ts","17","wholesaler dashboard: no horizontal overflow, no console/page errors","passed","",""
"150","tablet","phase6-responsive.spec.ts","25","wholesaler orders page: no horizontal overflow","passed","",""
"151","tablet","phase6-responsive.spec.ts","32","retailer catalog: no horizontal overflow, no console/page errors","passed","",""
"152","tablet","phase6-responsive.spec.ts","40","retailer orders page: no horizontal overflow","passed","",""
"153","tablet","phase6-responsive.spec.ts","47","login forms have labels and keyboard-accessible inputs","passed","",""
"154","tablet","phase6-responsive.spec.ts","60","no unexpected network failures during a login journey","passed","",""
"155","tablet","phase6-responsive.spec.ts","68","print stub: window.print callable on print pages without errors","passed","",""
"156","mobile","phase6-responsive.spec.ts","17","wholesaler dashboard: no horizontal overflow, no console/page errors","failed","F5_product_mobile_overflow","Error: wholesaler dashboard horizontal overflow (scrollWidth-clientWidth) [2mexpect([22m[31mreceived[39m[2m).[22mtoBeLessThanOrEqual[2m([22m[32mexpected[39m[2m)[22m Expected: <= [32m1[39"
"157","mobile","phase6-responsive.spec.ts","25","wholesaler orders page: no horizontal overflow","failed","F5_product_mobile_overflow","Error: wholesaler orders horizontal overflow (scrollWidth-clientWidth) [2mexpect([22m[31mreceived[39m[2m).[22mtoBeLessThanOrEqual[2m([22m[32mexpected[39m[2m)[22m Expected: <= [32m1[39m R"
"158","mobile","phase6-responsive.spec.ts","32","retailer catalog: no horizontal overflow, no console/page errors","passed","",""
"159","mobile","phase6-responsive.spec.ts","40","retailer orders page: no horizontal overflow","passed","",""
"160","mobile","phase6-responsive.spec.ts","47","login forms have labels and keyboard-accessible inputs","passed","",""
"161","mobile","phase6-responsive.spec.ts","60","no unexpected network failures during a login journey","passed","",""
"162","mobile","phase6-responsive.spec.ts","68","print stub: window.print callable on print pages without errors","passed","",""
