idx,file,line,project,status,title
90,phase3-wholesaler.spec.ts,28,mobile,passed,wholesaler page /orders renders authenticated content
91,phase3-wholesaler.spec.ts,28,mobile,passed,wholesaler page /inventory renders authenticated content
92,phase3-wholesaler.spec.ts,28,mobile,passed,wholesaler page /skus renders authenticated content
93,phase3-wholesaler.spec.ts,28,mobile,passed,wholesaler page /retailers renders authenticated content
94,phase3-wholesaler.spec.ts,28,mobile,passed,wholesaler page /finance renders authenticated content
95,phase3-wholesaler.spec.ts,28,mobile,passed,wholesaler page /payments renders authenticated content
96,phase3-wholesaler.spec.ts,28,mobile,passed,wholesaler page /declarations renders authenticated content
97,phase3-wholesaler.spec.ts,41,mobile,passed,dashboard shows the app shell with user context
98,phase3-wholesaler.spec.ts,46,mobile,passed,wholesaler cannot open retailer /client routes (boundary redirect)
99,phase3-wholesaler.spec.ts,52,mobile,passed,logout returns to /login and clears the session
100,phase4-retailer.spec.ts,44,desktop,passed,retailer portal: catalog page renders supplier products incl. the setup SKU
101,phase4-retailer.spec.ts,53,desktop,passed,retailer creates an order through the real API (journey precondition)
102,phase4-retailer.spec.ts,62,desktop,passed,retailer orders page lists own orders via the browser
103,phase4-retailer.spec.ts,70,desktop,passed,financial idempotency: repeated declaration with the same key produces ZERO extra writes
104,phase4-retailer.spec.ts,118,desktop,passed,UI double-click on declare submit creates exactly one declaration (browser evidence)
105,phase4-retailer.spec.ts,153,desktop,passed,retailer finance/payments/declarations pages render without errors
106,phase4-retailer.spec.ts,164,desktop,passed,retailer print page issues NO mutating requests
107,phase4-retailer.spec.ts,44,tablet,passed,retailer portal: catalog page renders supplier products incl. the setup SKU
108,phase4-retailer.spec.ts,53,tablet,passed,retailer creates an order through the real API (journey precondition)
109,phase4-retailer.spec.ts,62,tablet,passed,retailer orders page lists own orders via the browser
110,phase4-retailer.spec.ts,70,tablet,passed,financial idempotency: repeated declaration with the same key produces ZERO extra writes
111,phase4-retailer.spec.ts,118,tablet,passed,UI double-click on declare submit creates exactly one declaration (browser evidence)
112,phase4-retailer.spec.ts,153,tablet,passed,retailer finance/payments/declarations pages render without errors
113,phase4-retailer.spec.ts,164,tablet,passed,retailer print page issues NO mutating requests
114,phase4-retailer.spec.ts,44,mobile,passed,retailer portal: catalog page renders supplier products incl. the setup SKU
115,phase4-retailer.spec.ts,53,mobile,passed,retailer creates an order through the real API (journey precondition)
116,phase4-retailer.spec.ts,62,mobile,passed,retailer orders page lists own orders via the browser
117,phase4-retailer.spec.ts,70,mobile,passed,financial idempotency: repeated declaration with the same key produces ZERO extra writes
118,phase4-retailer.spec.ts,118,mobile,passed,UI double-click on declare submit creates exactly one declaration (browser evidence)
119,phase4-retailer.spec.ts,153,mobile,passed,retailer finance/payments/declarations pages render without errors
120,phase4-retailer.spec.ts,164,mobile,passed,retailer print page issues NO mutating requests
121,phase5-isolation.spec.ts,15,desktop,passed,cross-retailer: RB cannot read RA order by id (API isolation)
122,phase5-isolation.spec.ts,49,desktop,passed,cross-tenant: W2 admin retailer list does NOT contain W1-only retailer RB
123,phase5-isolation.spec.ts,60,desktop,passed,cross-tenant: RA W2-context cannot use W1-only data paths
124,phase5-isolation.spec.ts,75,desktop,passed,malformed IDs return neutral structured errors (no internals leaked)
125,phase5-isolation.spec.ts,86,desktop,passed,unauthenticated API access is rejected with structured 401 (no leak)
126,phase5-isolation.spec.ts,103,desktop,passed,browser: RB portal session never exposes W2 tenant data
127,phase5-isolation.spec.ts,112,desktop,passed,RB orders page contains no RA-created orders (page-level isolation)
128,phase5-isolation.spec.ts,15,tablet,passed,cross-retailer: RB cannot read RA order by id (API isolation)
129,phase5-isolation.spec.ts,49,tablet,passed,cross-tenant: W2 admin retailer list does NOT contain W1-only retailer RB
130,phase5-isolation.spec.ts,60,tablet,passed,cross-tenant: RA W2-context cannot use W1-only data paths
131,phase5-isolation.spec.ts,75,tablet,passed,malformed IDs return neutral structured errors (no internals leaked)
132,phase5-isolation.spec.ts,86,tablet,passed,unauthenticated API access is rejected with structured 401 (no leak)
133,phase5-isolation.spec.ts,103,tablet,passed,browser: RB portal session never exposes W2 tenant data
134,phase5-isolation.spec.ts,112,tablet,passed,RB orders page contains no RA-created orders (page-level isolation)
135,phase5-isolation.spec.ts,15,mobile,passed,cross-retailer: RB cannot read RA order by id (API isolation)
136,phase5-isolation.spec.ts,49,mobile,passed,cross-tenant: W2 admin retailer list does NOT contain W1-only retailer RB
137,phase5-isolation.spec.ts,60,mobile,passed,cross-tenant: RA W2-context cannot use W1-only data paths
138,phase5-isolation.spec.ts,75,mobile,passed,malformed IDs return neutral structured errors (no internals leaked)
139,phase5-isolation.spec.ts,86,mobile,passed,unauthenticated API access is rejected with structured 401 (no leak)
140,phase5-isolation.spec.ts,103,mobile,passed,browser: RB portal session never exposes W2 tenant data
141,phase5-isolation.spec.ts,112,mobile,passed,RB orders page contains no RA-created orders (page-level isolation)
142,phase6-responsive.spec.ts,17,desktop,passed,"wholesaler dashboard: no horizontal overflow, no console/page errors"
143,phase6-responsive.spec.ts,25,desktop,passed,wholesaler orders page: no horizontal overflow
144,phase6-responsive.spec.ts,32,desktop,passed,"retailer catalog: no horizontal overflow, no console/page errors"
145,phase6-responsive.spec.ts,40,desktop,passed,retailer orders page: no horizontal overflow
146,phase6-responsive.spec.ts,47,desktop,passed,login forms have labels and keyboard-accessible inputs
147,phase6-responsive.spec.ts,60,desktop,passed,no unexpected network failures during a login journey
148,phase6-responsive.spec.ts,68,desktop,passed,print stub: window.print callable on print pages without errors
149,phase6-responsive.spec.ts,17,tablet,passed,"wholesaler dashboard: no horizontal overflow, no console/page errors"
150,phase6-responsive.spec.ts,25,tablet,passed,wholesaler orders page: no horizontal overflow
151,phase6-responsive.spec.ts,32,tablet,passed,"retailer catalog: no horizontal overflow, no console/page errors"
152,phase6-responsive.spec.ts,40,tablet,passed,retailer orders page: no horizontal overflow
153,phase6-responsive.spec.ts,47,tablet,passed,login forms have labels and keyboard-accessible inputs
154,phase6-responsive.spec.ts,60,tablet,passed,no unexpected network failures during a login journey
155,phase6-responsive.spec.ts,68,tablet,passed,print stub: window.print callable on print pages without errors
156,phase6-responsive.spec.ts,17,mobile,failed,"wholesaler dashboard: no horizontal overflow, no console/page errors"
157,phase6-responsive.spec.ts,25,mobile,failed,wholesaler orders page: no horizontal overflow
158,phase6-responsive.spec.ts,32,mobile,passed,"retailer catalog: no horizontal overflow, no console/page errors"
159,phase6-responsive.spec.ts,40,mobile,passed,retailer orders page: no horizontal overflow
160,phase6-responsive.spec.ts,47,mobile,passed,login forms have labels and keyboard-accessible inputs
161,phase6-responsive.spec.ts,60,mobile,passed,no unexpected network failures during a login journey
162,phase6-responsive.spec.ts,68,mobile,passed,print stub: window.print callable on print pages without errors
