check_id,file_path,line_number,mechanism,verdict,minimal_fix
NEG-CHILD-ONLY-PRELOAD,harness-governance/tests/test_authority_runner_r2r2.py,289-357,"13/13 truth tests independently executed: child-only sitecustomize -> child fail-closed redis_module:preload_detected, no proof, command count 0, parent env clean",INDEPENDENT_FRESH_RUNTIME_EVIDENCE,None
NEG-MODULE-BYTE-DRIFT,harness-governance/tests/test_authority_runner_r2r2.py,N/A,"drift before child flagged by child binding; drift_at_launch blocks command; forged child digest rejected",INDEPENDENT_FRESH_RUNTIME_EVIDENCE,None
UNIT-SUITE,harness-governance/tests,N/A,"158/158 passed in 6.36s (Python 3.12.3 / pytest via uv; psycopg 3.x) on fresh runtime; tree clean before/after",INDEPENDENT_FRESH_RUNTIME_EVIDENCE,None
LAUNCH-DISCIPLINE,N/A,N/A,"every GREEN run launched authority command exactly once (sentinel_calls==1 per runner process); every negative control 0",INDEPENDENT_FRESH_RUNTIME_EVIDENCE,None
ERRATUM-EXTRA-GREEN-INVOCATION,N/A,N/A,"first wrong-password CLI attempt omitted env override -> runner legitimately used correct URL, FINISHED sentinel=1; executor invocation error, retained; corrected run VOIDed rc=14 sentinel=0; this invocation is VOID and is NOT counted as an authoritative positive or negative result",VOID_EXECUTOR_INVOCATION_DEFECT,None
ERRATUM-SUITE-RL4-REQUIREPASS,harness-governance/tests/run_e2e_redis_cases.py,N/A,"first suite run on requirepass container 6/7: RL4 seed helper sends SET without AUTH so seeding silently failed (helper/env interplay, not candidate defect); suite re-run as designed on fresh plain redis7 = 7/7; this diagnostic run is NOT authoritative; both logs retained",NON_AUTHORITATIVE_ENVIRONMENT_COUPLING_DIAGNOSTIC,None
SCOPE-NO-FULL-SUITE,N/A,N/A,"product full-suite not repeated; claim ceiling HE2_ET1_AUTHORITY_RUNNER_RUNTIME_APPROVAL_ONLY respected",INFO,None
CLEANUP-COMPLETE,N/A,N/A,"3 containers + volumes + network removed; ports 16379/16380/18543 free; 26379 unreachable; creds file destroyed; worktree removed+deregistered; remote refs unchanged",INDEPENDENT_FRESH_RUNTIME_EVIDENCE,None
STOP-NO-MERGE-DEPLOY,N/A,N/A,"push-state split: V2 original runtime round committed and pushed nothing (candidate untouched, refs byte-identical at close); E1 publication round pushed this evidence branch to origin (b9b99ba0, parent == CANDIDATE, publication files only); to date still NOT merged and NOT deployed",INFO,None
PUB-METADATA-ORIGINAL-VERDICT,N/A,N/A,"ORIGINAL_RUNTIME_VERDICT=PASS_FOR_CTO_DC12R1_MVP_L1_HE2_ET1_R2_R2_R1_V2_LUBUNTU_OPENCODE_INDEPENDENT_FRESH_RUNTIME_AUTHORITY_FINAL; retained unchanged, governs runtime claims only",PUBLICATION_METADATA,None
PUB-METADATA-CURRENT-VERDICT,N/A,N/A,"CURRENT_PUBLICATION_VERDICT=PASS_FOR_CTO_DC12R1_MVP_L1_HE2_ET1_R2_R2_R1_V2_E1_R1_CANONICAL_PUBLICATION_VERDICT_METADATA_CLOSURE; governs canonical publication metadata only; linear fast-forward on BASE b9b99ba0, no amend, no force-push, only REPORT.md + findings.csv + manifest_sha256.txt modified; 15 evidence files byte-identical to BASE blobs",PUBLICATION_METADATA,None
