run,file,project,node,status,duration_ms,finding
full_browser authoritative (Phase 4),phase2-identity.spec.ts,desktop,REAL mpango-auth format restores a retailer session at /client,passed,1023,PASS
full_browser authoritative (Phase 4),phase2-identity.spec.ts,desktop,login form submits real credentials to the real API (request body audit),passed,1480,PASS
full_browser authoritative (Phase 4),phase2-identity.spec.ts,tablet,legacy localStorage keys (access_token/user) do NOT authenticate,passed,785,PASS
full_browser authoritative (Phase 4),phase2-identity.spec.ts,tablet,forged mpango-auth with invalid JWT is rejected by the backend,passed,905,PASS
full_browser authoritative (Phase 4),phase2-identity.spec.ts,tablet,REAL mpango-auth format restores a wholesaler session (hydration),passed,1707,PASS
full_browser authoritative (Phase 4),phase2-identity.spec.ts,tablet,REAL mpango-auth format restores a retailer session at /client,passed,1029,PASS
full_browser authoritative (Phase 4),phase2-identity.spec.ts,tablet,login form submits real credentials to the real API (request body audit),passed,1506,PASS
full_browser authoritative (Phase 4),phase2-identity.spec.ts,mobile,legacy localStorage keys (access_token/user) do NOT authenticate,passed,664,PASS
full_browser authoritative (Phase 4),phase2-identity.spec.ts,mobile,forged mpango-auth with invalid JWT is rejected by the backend,passed,706,PASS
full_browser authoritative (Phase 4),phase2-identity.spec.ts,mobile,REAL mpango-auth format restores a wholesaler session (hydration),passed,1658,PASS
full_browser authoritative (Phase 4),phase2-identity.spec.ts,mobile,REAL mpango-auth format restores a retailer session at /client,passed,1033,PASS
full_browser authoritative (Phase 4),phase2-identity.spec.ts,mobile,login form submits real credentials to the real API (request body audit),passed,1507,PASS
full_browser authoritative (Phase 4),phase3-wholesaler.spec.ts,desktop,wholesaler page / renders authenticated content,passed,1838,PASS
full_browser authoritative (Phase 4),phase3-wholesaler.spec.ts,desktop,wholesaler page /orders renders authenticated content,passed,1786,PASS
full_browser authoritative (Phase 4),phase3-wholesaler.spec.ts,desktop,wholesaler page /inventory renders authenticated content,passed,1957,PASS
full_browser authoritative (Phase 4),phase3-wholesaler.spec.ts,desktop,wholesaler page /skus renders authenticated content,passed,1905,PASS
full_browser authoritative (Phase 4),phase3-wholesaler.spec.ts,desktop,wholesaler page /retailers renders authenticated content,passed,1758,PASS
full_browser authoritative (Phase 4),phase3-wholesaler.spec.ts,desktop,wholesaler page /finance renders authenticated content,passed,1802,PASS
full_browser authoritative (Phase 4),phase3-wholesaler.spec.ts,desktop,wholesaler page /payments renders authenticated content,passed,1768,PASS
full_browser authoritative (Phase 4),phase3-wholesaler.spec.ts,desktop,wholesaler page /declarations renders authenticated content,passed,1825,PASS
full_browser authoritative (Phase 4),phase3-wholesaler.spec.ts,desktop,dashboard shows the app shell with user context,passed,1949,PASS
full_browser authoritative (Phase 4),phase3-wholesaler.spec.ts,desktop,wholesaler cannot open retailer /client routes (boundary redirect),passed,1787,PASS
full_browser authoritative (Phase 4),phase3-wholesaler.spec.ts,desktop,logout returns to /login and clears the session,passed,1512,PASS
full_browser authoritative (Phase 4),phase3-wholesaler.spec.ts,tablet,wholesaler page / renders authenticated content,passed,1750,PASS
full_browser authoritative (Phase 4),phase3-wholesaler.spec.ts,tablet,wholesaler page /orders renders authenticated content,passed,2127,PASS
full_browser authoritative (Phase 4),phase3-wholesaler.spec.ts,tablet,wholesaler page /inventory renders authenticated content,passed,1764,PASS
full_browser authoritative (Phase 4),phase3-wholesaler.spec.ts,tablet,wholesaler page /skus renders authenticated content,passed,1844,PASS
full_browser authoritative (Phase 4),phase3-wholesaler.spec.ts,tablet,wholesaler page /retailers renders authenticated content,passed,1818,PASS
full_browser authoritative (Phase 4),phase3-wholesaler.spec.ts,tablet,wholesaler page /finance renders authenticated content,passed,1843,PASS
full_browser authoritative (Phase 4),phase3-wholesaler.spec.ts,tablet,wholesaler page /payments renders authenticated content,passed,1813,PASS
full_browser authoritative (Phase 4),phase3-wholesaler.spec.ts,tablet,wholesaler page /declarations renders authenticated content,passed,1769,PASS
full_browser authoritative (Phase 4),phase3-wholesaler.spec.ts,tablet,dashboard shows the app shell with user context,passed,1867,PASS
full_browser authoritative (Phase 4),phase3-wholesaler.spec.ts,tablet,wholesaler cannot open retailer /client routes (boundary redirect),passed,1811,PASS
full_browser authoritative (Phase 4),phase3-wholesaler.spec.ts,tablet,logout returns to /login and clears the session,passed,1658,PASS
full_browser authoritative (Phase 4),phase3-wholesaler.spec.ts,mobile,wholesaler page / renders authenticated content,passed,1869,PASS
full_browser authoritative (Phase 4),phase3-wholesaler.spec.ts,mobile,wholesaler page /orders renders authenticated content,passed,1776,PASS
full_browser authoritative (Phase 4),phase3-wholesaler.spec.ts,mobile,wholesaler page /inventory renders authenticated content,passed,1922,PASS
full_browser authoritative (Phase 4),phase3-wholesaler.spec.ts,mobile,wholesaler page /skus renders authenticated content,passed,1752,PASS
full_browser authoritative (Phase 4),phase3-wholesaler.spec.ts,mobile,wholesaler page /retailers renders authenticated content,passed,1774,PASS
full_browser authoritative (Phase 4),phase3-wholesaler.spec.ts,mobile,wholesaler page /finance renders authenticated content,passed,1851,PASS
full_browser authoritative (Phase 4),phase3-wholesaler.spec.ts,mobile,wholesaler page /payments renders authenticated content,passed,1861,PASS
full_browser authoritative (Phase 4),phase3-wholesaler.spec.ts,mobile,wholesaler page /declarations renders authenticated content,passed,1806,PASS
full_browser authoritative (Phase 4),phase3-wholesaler.spec.ts,mobile,dashboard shows the app shell with user context,passed,1789,PASS
full_browser authoritative (Phase 4),phase3-wholesaler.spec.ts,mobile,wholesaler cannot open retailer /client routes (boundary redirect),passed,1689,PASS
full_browser authoritative (Phase 4),phase3-wholesaler.spec.ts,mobile,logout returns to /login and clears the session,passed,1509,PASS
full_browser authoritative (Phase 4),phase4-retailer.spec.ts,desktop,retailer portal: catalog page renders supplier products incl. the setup SKU,passed,2906,PASS
full_browser authoritative (Phase 4),phase4-retailer.spec.ts,desktop,retailer creates an order through the real API (journey precondition),passed,70,PASS
full_browser authoritative (Phase 4),phase4-retailer.spec.ts,desktop,retailer orders page lists own orders via the browser,passed,1227,PASS
full_browser authoritative (Phase 4),phase4-retailer.spec.ts,desktop,financial idempotency: repeated declaration with the same key produces ZERO extra writes,passed,424,PASS
full_browser authoritative (Phase 4),phase4-retailer.spec.ts,desktop,UI double-click on declare submit creates exactly one declaration (browser evidence),passed,7074,PASS
full_browser authoritative (Phase 4),phase4-retailer.spec.ts,desktop,retailer finance/payments/declarations pages render without errors,passed,1654,PASS
full_browser authoritative (Phase 4),phase4-retailer.spec.ts,desktop,retailer print page issues NO mutating requests,passed,3240,PASS
full_browser authoritative (Phase 4),phase4-retailer.spec.ts,tablet,retailer portal: catalog page renders supplier products incl. the setup SKU,passed,3138,PASS
full_browser authoritative (Phase 4),phase4-retailer.spec.ts,tablet,retailer creates an order through the real API (journey precondition),passed,69,PASS
full_browser authoritative (Phase 4),phase4-retailer.spec.ts,tablet,retailer orders page lists own orders via the browser,passed,1231,PASS
full_browser authoritative (Phase 4),phase4-retailer.spec.ts,tablet,financial idempotency: repeated declaration with the same key produces ZERO extra writes,passed,423,PASS
full_browser authoritative (Phase 4),phase4-retailer.spec.ts,tablet,UI double-click on declare submit creates exactly one declaration (browser evidence),passed,6921,PASS
full_browser authoritative (Phase 4),phase4-retailer.spec.ts,tablet,retailer finance/payments/declarations pages render without errors,passed,1748,PASS
full_browser authoritative (Phase 4),phase4-retailer.spec.ts,tablet,retailer print page issues NO mutating requests,passed,3279,PASS
full_browser authoritative (Phase 4),phase4-retailer.spec.ts,mobile,retailer portal: catalog page renders supplier products incl. the setup SKU,passed,3115,PASS
full_browser authoritative (Phase 4),phase4-retailer.spec.ts,mobile,retailer creates an order through the real API (journey precondition),passed,66,PASS
full_browser authoritative (Phase 4),phase4-retailer.spec.ts,mobile,retailer orders page lists own orders via the browser,passed,1184,PASS
full_browser authoritative (Phase 4),phase4-retailer.spec.ts,mobile,financial idempotency: repeated declaration with the same key produces ZERO extra writes,passed,408,PASS
full_browser authoritative (Phase 4),phase4-retailer.spec.ts,mobile,UI double-click on declare submit creates exactly one declaration (browser evidence),passed,6957,PASS
full_browser authoritative (Phase 4),phase4-retailer.spec.ts,mobile,retailer finance/payments/declarations pages render without errors,passed,1645,PASS
full_browser authoritative (Phase 4),phase4-retailer.spec.ts,mobile,retailer print page issues NO mutating requests,passed,3209,PASS
full_browser authoritative (Phase 4),phase5-isolation.spec.ts,desktop,cross-retailer: RB cannot read RA order by id (API isolation),passed,3236,PASS
full_browser authoritative (Phase 4),phase5-isolation.spec.ts,desktop,cross-tenant: W2 admin retailer list does NOT contain W1-only retailer RB,passed,906,PASS
full_browser authoritative (Phase 4),phase5-isolation.spec.ts,desktop,cross-tenant: RA W2-context cannot use W1-only data paths,passed,1124,PASS
full_browser authoritative (Phase 4),phase5-isolation.spec.ts,desktop,malformed IDs return neutral structured errors (no internals leaked),passed,882,PASS
full_browser authoritative (Phase 4),phase5-isolation.spec.ts,desktop,unauthenticated API access is rejected with structured 401 (no leak),passed,15,PASS
full_browser authoritative (Phase 4),phase5-isolation.spec.ts,desktop,browser: RB portal session never exposes W2 tenant data,passed,2421,PASS
full_browser authoritative (Phase 4),phase5-isolation.spec.ts,desktop,RB orders page contains no RA-created orders (page-level isolation),passed,5113,PASS
full_browser authoritative (Phase 4),phase5-isolation.spec.ts,tablet,cross-retailer: RB cannot read RA order by id (API isolation),passed,3118,PASS
full_browser authoritative (Phase 4),phase5-isolation.spec.ts,tablet,cross-tenant: W2 admin retailer list does NOT contain W1-only retailer RB,passed,896,PASS
full_browser authoritative (Phase 4),phase5-isolation.spec.ts,tablet,cross-tenant: RA W2-context cannot use W1-only data paths,passed,1246,PASS
full_browser authoritative (Phase 4),phase5-isolation.spec.ts,tablet,malformed IDs return neutral structured errors (no internals leaked),passed,819,PASS
full_browser authoritative (Phase 4),phase5-isolation.spec.ts,tablet,unauthenticated API access is rejected with structured 401 (no leak),passed,11,PASS
full_browser authoritative (Phase 4),phase5-isolation.spec.ts,tablet,browser: RB portal session never exposes W2 tenant data,passed,2380,PASS
full_browser authoritative (Phase 4),phase5-isolation.spec.ts,tablet,RB orders page contains no RA-created orders (page-level isolation),passed,4976,PASS
full_browser authoritative (Phase 4),phase5-isolation.spec.ts,mobile,cross-retailer: RB cannot read RA order by id (API isolation),passed,3270,PASS
full_browser authoritative (Phase 4),phase5-isolation.spec.ts,mobile,cross-tenant: W2 admin retailer list does NOT contain W1-only retailer RB,passed,920,PASS
full_browser authoritative (Phase 4),phase5-isolation.spec.ts,mobile,cross-tenant: RA W2-context cannot use W1-only data paths,passed,1150,PASS
full_browser authoritative (Phase 4),phase5-isolation.spec.ts,mobile,malformed IDs return neutral structured errors (no internals leaked),passed,856,PASS
full_browser authoritative (Phase 4),phase5-isolation.spec.ts,mobile,unauthenticated API access is rejected with structured 401 (no leak),passed,15,PASS
full_browser authoritative (Phase 4),phase5-isolation.spec.ts,mobile,browser: RB portal session never exposes W2 tenant data,passed,2436,PASS
full_browser authoritative (Phase 4),phase5-isolation.spec.ts,mobile,RB orders page contains no RA-created orders (page-level isolation),passed,4959,PASS
full_browser authoritative (Phase 4),phase6-responsive.spec.ts,desktop,"wholesaler dashboard: no horizontal overflow, no console/page errors",passed,1557,PASS
full_browser authoritative (Phase 4),phase6-responsive.spec.ts,desktop,wholesaler orders page: no horizontal overflow,passed,1851,PASS
full_browser authoritative (Phase 4),phase6-responsive.spec.ts,desktop,"retailer catalog: no horizontal overflow, no console/page errors",passed,903,PASS
full_browser authoritative (Phase 4),phase6-responsive.spec.ts,desktop,retailer orders page: no horizontal overflow,passed,1246,PASS
full_browser authoritative (Phase 4),phase6-responsive.spec.ts,desktop,login forms have labels and keyboard-accessible inputs,passed,511,PASS
full_browser authoritative (Phase 4),phase6-responsive.spec.ts,desktop,no unexpected network failures during a login journey,passed,1511,PASS
full_browser authoritative (Phase 4),phase6-responsive.spec.ts,desktop,print stub: window.print callable on print pages without errors,passed,3277,PASS
full_browser authoritative (Phase 4),phase6-responsive.spec.ts,tablet,"wholesaler dashboard: no horizontal overflow, no console/page errors",passed,1613,PASS
full_browser authoritative (Phase 4),phase6-responsive.spec.ts,tablet,wholesaler orders page: no horizontal overflow,passed,1812,PASS
full_browser authoritative (Phase 4),phase6-responsive.spec.ts,tablet,"retailer catalog: no horizontal overflow, no console/page errors",passed,960,PASS
full_browser authoritative (Phase 4),phase6-responsive.spec.ts,tablet,retailer orders page: no horizontal overflow,passed,1221,PASS
full_browser authoritative (Phase 4),phase6-responsive.spec.ts,tablet,login forms have labels and keyboard-accessible inputs,passed,499,PASS
full_browser authoritative (Phase 4),phase6-responsive.spec.ts,tablet,no unexpected network failures during a login journey,passed,1468,PASS
full_browser authoritative (Phase 4),phase6-responsive.spec.ts,tablet,print stub: window.print callable on print pages without errors,passed,3304,PASS
full_browser authoritative (Phase 4),phase6-responsive.spec.ts,mobile,"wholesaler dashboard: no horizontal overflow, no console/page errors",passed,1478,PASS
full_browser authoritative (Phase 4),phase6-responsive.spec.ts,mobile,wholesaler orders page: no horizontal overflow,passed,1778,PASS
full_browser authoritative (Phase 4),phase6-responsive.spec.ts,mobile,"retailer catalog: no horizontal overflow, no console/page errors",passed,903,PASS
full_browser authoritative (Phase 4),phase6-responsive.spec.ts,mobile,retailer orders page: no horizontal overflow,passed,1176,PASS
full_browser authoritative (Phase 4),phase6-responsive.spec.ts,mobile,login forms have labels and keyboard-accessible inputs,passed,483,PASS
full_browser authoritative (Phase 4),phase6-responsive.spec.ts,mobile,no unexpected network failures during a login journey,passed,1479,PASS
full_browser authoritative (Phase 4),phase6-responsive.spec.ts,mobile,print stub: window.print callable on print pages without errors,passed,3290,PASS
