capability_id,actor,business_action,current_route_or_ui,service_or_model,required_permission,tenant_context_source,data_scope,current_status,target_mvp_contract,gap_severity,evidence_file_line,test_evidence,recommended_slice,finding_id
DC12R0-C011,Retailer Operator MVP,Browse catalog / SKUs,GET /api/v1/client/products + /client (ProductListPage),api/v1/client/orders.py + frontend ProductListPage.tsx:16,n/a (client guard),JWT token.tenant_id,Current tenant catalog only,IMPLEMENTED,Retailer browses only the current wholesaler SKUs/prices,P3,api/v1/client/dependencies.py:97-115 binding guard; search_path scoping,No cross-tenant leak; ORM filter + search_path defense in depth,DC-12R2,
DC12R0-C012,Retailer Operator MVP,View allocated price,server-side price resolve in order create,api/v1/client/orders.py:105-121 + api/v1/orders.py:370-387,n/a,JWT token.tenant_id,Current tenant retailer_prices,IMPLEMENTED,Price resolved server-side; client cannot supply price,P3,api/v1/client/orders.py:105-121; schemas/order.py WholesalerOrderItemCreate has no unit_price field,test_phase4_pricing_safe_orders.py:148-166 asserts no price field,DC-12R2,
DC12R0-C013,Retailer Operator MVP,Create order,POST /api/v1/client/orders + /client/orders/new,api/v1/client/orders.py:86-194,orders:create (client),JWT token.tenant_id + server-derived retailer_id,Own orders in current tenant,IMPLEMENTED,Retailer creates order scoped to current wholesaler + own retailer_id,P3,api/v1/client/orders.py:180-187 wholesaler_id/retailer_id from server,Binding-active gate + server-derived ids; test_orders_api PASS,DC-12R2,
DC12R0-C014,Retailer Operator MVP,List own orders,GET /api/v1/client/orders,api/v1/client/orders.py:201-248,orders:read (client),JWT token.tenant_id + client.retailer_id,Only own orders,PARTIAL,Retailer sees only their own orders in current tenant,P2,api/v1/client/orders.py:233 passes retailer_id=client.retailer_id,Ownership enforced; relies on tenant search_path (crud/order.py:109-134 no explicit wholesaler_id),DC-12R2,
DC12R0-C015,Retailer Operator MVP,View order detail,GET /api/v1/client/orders/{id},api/v1/client/orders.py:255-286,orders:read (client),JWT token.tenant_id + ownership re-check,Own order only,IMPLEMENTED,Cross-retailer order read returns 404,P3,api/v1/client/orders.py:276-280 ownership re-check,Ownership check present,DC-12R2,
DC12R0-C016,Retailer Operator MVP,Cancel own order,POST /api/v1/client/orders/{id}/cancel,api/v1/client/orders.py:293-356,orders:update (client),JWT token.tenant_id + ownership re-check,Own order only,IMPLEMENTED,Retailer cancels only own orders,P3,api/v1/client/orders.py:315-319 ownership re-check,Ownership check present,DC-12R2,
DC12R0-C017,Retailer Operator MVP,Make payment,POST /api/v1/orders/{id}/pay (payments POST disabled),api/v1/orders.py:558-861,payments:create,JWT token.tenant_id + order.retailer_id,Current tenant order,IMPLEMENTED,cash/transfer/credit only; idempotency + dup-transfer guard,P3,api/v1/orders.py:561; schemas/payment.py:11-14; idempotency api/v1/orders.py:602-652,test_dc11d + test_payments_api PASS,DC-12R2,
DC12R0-C018,Retailer Operator MVP,View payments / outstanding balance,n/a (NO client route exists),n/a,payments:read/finance:read,JWT token.tenant_id,Current tenant receivables,MISSING,Retailer must see own outstanding balance / payment history,P1,grep frontend src/pages/client: zero matches for outstanding/balance/payment; ClientLayout bottom-nav Products+Orders only,No retailer-facing ledger/balance UI; backend /finance is wholesaler-only (finance:read),DC-12R1,F-05
DC12R0-C019,Wholesaler owner/admin,Manage receivables (summary/orders),GET /api/v1/finance/receivables/*,api/v1/finance.py:330-415 + services/receivables_service.py,finance:read,JWT token.tenant_id,Current tenant only (explicit wholesaler_id filter),IMPLEMENTED,Receivables strictly scoped to current wholesaler,P3,services/receivables_service.py:80-95 WHERE wholesaler_id; api/v1/finance.py:358/407,test_dc10k_finance_receivables_runtime.py:51-124 single-tenant isolation,DC-12R2,
DC12R0-C020,Wholesaler owner/admin,Reject negative outstanding balance,DB constraint + runtime guard,models/binding.py:19-22 + services/payment_service.py:169-216,n/a,n/a,Single binding,IMPLEMENTED,No negative customer outstanding balance,P3,models/binding.py:20 CheckConstraint; payment_service.py:186-212 runtime underflow guard,test_dc11t4h:235-276 over-collection rejected,DC-12R2,
DC12R0-C021,Wholesaler owner/admin,Reject over-collection,api/v1/orders.py pay flow,api/v1/orders.py:670-691,n/a,JWT token.tenant_id,Single order exposure,IMPLEMENTED,No over-collected order permitted,P3,api/v1/orders.py:670-681 ORDER_ALREADY_PAID/PAYMENT_EXCEEDS_REMAINING; repositories/payment_repository.py:180-194,test_dc11t4h:235-276 + concurrent 321-371,DC-12R2,
DC12R0-C022,Wholesaler owner/admin,Reject cross-tenant receivable,receivables service + ORM filter,services/receivables_service.py:56-479 + db/tenant_filter.py,finance:read,JWT token.tenant_id,Current tenant only,IMPLEMENTED,No cross-tenant receivable permitted,P3,services/receivables_service.py:278 explicit wholesaler_id; db/tenant_filter.py:148-174 server-side WHERE,test_dc11t4h:411-492 cross-tenant credit isolation,DC-12R2,
DC12R0-C023,Any actor,Global tenant filter (server-side),ORM do_orm_execute event,db/tenant_filter.py:185-204,n/a,n/a (request-scoped context var),All tenant-columned models,IMPLEMENTED,All queries scoped to current tenant at ORM layer,P3,db/tenant_filter.py:190-200 event handler; 148-174 WHERE injection,test_global_tenant_filter PASS; tests/security/test_exploit_guardrail cross-tenant read returns None,DC-12R2,
DC12R0-C024,Retailer token,Access wholesaler admin/platform endpoints,n/a (boundary),api/middleware/rbac.py:78-137 + platform/p10/guard.py,n/a,JWT (identity-only required for platform),n/a,IMPLEMENTED,Retailer token MUST NOT reach wholesaler admin or platform (boundary held at backend),P3,api/middleware/rbac.py:121-135 strict AND identity check blocks contextual tokens; client/dependencies.py rejects identity-only,Platform boundary enforced at backend; frontend route guard weak (C029),DC-12R1,
DC12R0-C025,Retailer Operator MVP,Frontend retailer route guard,n/a,frontend src/router/guards.tsx:8-16,n/a,n/a,n/a,MISSING,/client/* and wholesaler / share the same auth-only ProtectedRoute,P1,frontend src/router/guards.tsx:8-16 no RetailerRoute/WholesalerRoute; no 'retailer' role string in src,No frontend role gating; backend 403s are the only barrier,DC-12R1,F-06
DC12R0-C026,Wholesaler owner/admin,Export data (async),POST /api/v1/exports + worker,jobs/export_jobs.py:88-233 + api/v1/exports.py:105-208,exports:create,JWT token captured into job payload,Current tenant only,IMPLEMENTED,Exports scoped to captured tenant; status/download verify ownership,P3,jobs/export_jobs.py:168-176 stamps tenant from payload; api/v1/exports.py:262-268/354-360 ownership check,test_s6_4_async_exports + test_dc10e_export_worker_tenant_context PASS,DC-12R2,
DC12R0-C027,Wholesaler owner/admin,Relationship status management (active/inactive),n/a (no endpoint),models/binding.py:42-48,n/a,n/a,Single binding,MISSING,Dedicated terminate/suspend endpoint + audit hook,P2,grep: no terminate/deactivate endpoint in api/v1/retailers.py or services/retailer_service.py; binding only active|inactive,Only DB-level status flip possible; no termination UI/endpoint,DC-12R2,F-07
DC12R0-C028,Retailer Operator MVP,Post-termination new-business block,binding status='active' gate,api/v1/orders.py:343-348 + client/dependencies.py:97-104,n/a,JWT token.tenant_id,Active binding required,IMPLEMENTED,Terminated retailer cannot create new orders/payments (gated),P2,api/v1/orders.py:343-348 AND status='active'; api/v1/client/dependencies.py:97-104,Gate exists; untested specifically for termination,DC-12R2,F-07
DC12R0-C029,Wholesaler owner/admin,Historical transaction retention after termination,n/a (no cascade),soft-delete models only,n/a,n/a,Historical orders/payments retained,IMPLEMENTED,Termination preserves legally-required history,P3,grep: no cascade delete on binding inactivation; receivables filter is_deleted IS FALSE not status,Soft-delete preserves history,DC-12R2,
DC12R0-C030,Future AI agent identity,Business permissions,n/a,n/a,n/a,n/a,n/a,DEFERRED_POST_MVP,AI agent identities must hold no business permission in MVP,P3,grep: no agent role/permission; only super_admin/admin/platform_operator/cashier/manager/user/finance/sales/warehouse/viewer,No AI-agent identity or business permission exists — correctly deferred,Post-MVP,
DC12R0-C031,Retailer Operator MVP,Wholesaler-specific deep-link entry,?tenant_code= query param,frontend LoginPage.tsx:24-26 + InvitePage.tsx:133,n/a,n/a,Single tenant entry,STALE_TEST_CONTRACT,Wholesaler-specific entry must directly establish single tenant context (backend-enforced),P2,frontend uses ?tenant_code= for auto-resolve BUT backend /auth/login ignores tenant_code and returns ALL tenants,Deep-link client-side only; backend does not constrain available_tenants,DC-12R1,F-09
DC12R0-C032,Platform operator,Platform operator login lifecycle,n/a (P10 guard uses shared secret / super_admin JWT),models/platform_operator.py:29-120 + api/v1/platform/p10/guard.py:13-31,n/a,identity JWT (super_admin) or X-Platform-Operator secret,n/a,STALE_TEST_CONTRACT,platform_operators schema+model groundwork exists but operator-row login/setup-token/revoke lifecycle NOT wired into P10 guard,P2,034 migration creates tables; models/platform_operator.py:29-120 full fields; p10/guard.py:13-31 authenticates via shared secret / identity-only super_admin / test-override NOT the operators table,test_dc11p0 (identity contract) + test_dc11p1 (schema) only; no lifecycle/integration test,DC-12R2,
DC12R0-C033,System,TokenPayload.is_identity_only semantics,core/security.py:65-68,core/security.py:65-68,n/a,n/a,n/a,STALE_TEST_CONTRACT,is_identity_only uses OR semantics (footgun); platform boundary works around it with strict AND,P3,core/security.py:65-68 tenant_id is None OR tenant_schema is None; rbac.py:121-123 strict AND workaround,test_route_authorization_policy AND-vs-OR boundary tests cover the workaround,DC-12R2,F-10
DC12R0-C034,Retailer Operator MVP,Onboarding route (zero available_tenants),/onboarding/create-tenant,frontend LoginPage.tsx:108,n/a,n/a,n/a,STALE_TEST_CONTRACT,/onboarding/create-tenant must exist or the zero-tenant branch repaired,P3,frontend LoginPage.tsx:108 navigates to /onboarding/create-tenant which is NOT registered in AppRouter,No test; falls through to NotFoundPage,DC-12R2,F-11
