id,kind,status,detail,hash_algorithm,hash,path_relative_to_evidence_root
R2-13,gate,pass,"static gates: diff-check rc=0 x2; 4 files blob==disk UTF-8 no BOM/CR/NUL; canary rc=1; formal scan rc=0; baseline SHA identical before/after",SHA-256,6bb4c593ef095eab86911e5c09800e0e5dfe02560e77d9111059a1993053d813,logs/static_gates_r2.log
R2-14,gate,pass,"P3 provisioning single run rc=0 (bounded readiness poll inside the run); 3-identity grants; no reporting objects pre-created",SHA-256,6c6035c4e435a1c932d80979aaa5dcc5dfc594ee10babc1e9c276d1d068862c4,logs/provision_r2.log
R2-15,gate,pass,"preflight counter 0->1 recorded before invocation (limit 1)",SHA-256,0a15302eef2b2125c190de559e2a86696775f016c036605d516f16c56543963e,logs/preflight_counter.log
R2-16,gate,pass,"REAL runtime preflight: single invocation rc=0, 26/26 checks true (identities, role flags, memberships=0, empty public, 4 privileges, alembic/reporting absent, migration log absent, exact port binding)",SHA-256,83cc94f41ea89ff9f30f93f9203dae0326e399f1d4be4a00376b5db269446dbb,logs/runtime_preflight_r2.json
R2-17,finding,FAIL,"formal pytest invocation record: counted 0->1 before launch; argv/cwd/candidate/script SHAs/timestamps; exit_code=1",SHA-256,025bcc04a32d5a3188c82fd804d6feb2f48bff095197f1fa663e010a729353c6,logs/formal_invocation_r2.log
R2-18,evidence,recorded,"formal pytest log (guard-sanitized by candidate; independent re-scan CLEAN)",SHA-256,e884f75451bfd75c15cd00403e64425ae1e54cc54a80aae889238ecfdbe7502f,evidence_redacted/pytest_formal_r2.log
R2-19,evidence,recorded,"JUnit XML of the formal attempt",SHA-256,b5f1d188ab2e6cd8233809ea77868f741043ae290f5d665d0c4edcc7ff8f872c,evidence_redacted/junit_r2.xml
R2-20,evidence,recorded,"migration log: this round's new file (verified absent by preflight); sanitized stderr + rc=1; 0 Running upgrade lines",SHA-256,1c0ec1092e1fada0ae1dd59f5c5f18331051e77ad8a2c74a7cdbde43aa4805bc,evidence_redacted/migration_log_r2.txt
R2-21,gate,pass,"final DB state read-only verification: public tables=0, alembic_version absent, t_* schemas=0 (migration failure was pre-write)",SHA-256,be7b2e485e7b733b59c62ee0260c20d14526fa681267919f3af7de9cddca9984,logs/db_final_state_r2.log
R2-22,gate,pass,"cleanup: container+volume removed by exact name after owner-label check; port 55444 free; worktree removed (porcelain clean)",SHA-256,0da0d381743ed4a50e5b4b732ba2febb0438abb5bcbb09f5fd55b7bd22776d23,logs/cleanup_r2.log
R2-23,gate,pass,"existing containers after cleanup: 9, zero-touch delta",SHA-256,dd10beb4a9b0e7bc14e9fb1c70a06d685fb3fd018d1b1747c91697e3e1d46869,logs/docker_ps_after_cleanup_r2.log
R2-24,disclosure,recorded,"zero leaks this round (all artifacts scanned with raw/quote/quote_plus of 3 passwords + SECRET_KEY -> CLEAN); R1 leak propagation: local-only, never pushed, password dead with R1 resources; unknowable copies: unknown (honest)",,,
R2-25,disclosure,recorded,"permission events: classifier blocks x6 recorded; user authorized; 3 exact-path Bash rules added to project settings.local.json; user self-added Bash(python3 *) (recorded, not ours)",SHA-256,8605395d3bbb3b8bc6dc4191cd309fb95cbe7ea8bd38f26d5d1c16dee398d153,logs/permission_decisions.md
R2-26,tool,recorded,"preflight library (adapters/parsers/judges/aggregation/redaction)",SHA-256,af94c612ee1567c36f574044740dc25c9b1ed43e8219442aec69681b9cc4f8fd,scripts/preflight_lib.py
R2-27,tool,recorded,"formal preflight entry (real transport only)",SHA-256,e6f0da67f6a90c8bf9287c036476ecf7b9d68d3ede9adf3425f69a38778e9dc5,scripts/runtime_preflight_r2.py
R2-28,tool,recorded,"offline selftest (synthetic transport, 41 cases)",SHA-256,b0c4940f3b2e2cb296603ed28eea4dfc9a210bd1390f35afb472fd0ac0197d88,scripts/offline_selftest.py
R2-29,tool,recorded,"provisioning script (bash -n verified)",SHA-256,66e9a5c67f9ba7a6f481eb32865626a835acd029cb744cc1a7c3ecf2a5f8982f,scripts/provision_stack_r2.sh
R2-30,tool,recorded,"preflight wrapper (thin env loader)",SHA-256,42123c19b01621abf904d4ea98a0d9d3cee8b968360a4c6f8974899301dd6dcb,scripts/preflight_wrapper.sh
R2-31,tool,recorded,"formal launcher (create-exclusive attempt marker)",SHA-256,ec38b8265939d051af84dcc7459a339198e558ab9b443bd25b994cc2977f5f26,scripts/run_formal_pytest.sh
R2-32,tool,recorded,"cleanup script (exact IDs, owner-label checked)",SHA-256,7f173971d443679e163d673ef66bfd4c411236601649e7217453b455875cd15e,scripts/cleanup_r2.sh
R2-33,not_run,recorded,"21 test bodies, 37 Running upgrade lines, run-identity lifecycle, negative controls real order, R2 sanitized exits real run: NOT_RUN (setup ERROR on first node)",,,
R2-34,not_run,recorded,"LUBUNTU_MUTATION=NOT_RUN_THIS_ROUND; guards full/four-file matrix/full backend/Redis/browser: out of scope",,,
R2-35,known_product_red,retained,"duplicate-return RED and cache-isolation RED/SKIP remain registered; untouched",,,
R2-36,stop_record,recorded,"executor STOP_RECORD.md (this round)",SHA-256,73749a7371c9142d604465d0f88eabba84cdfb442d268d326b91564af6274ea5,STOP_RECORD.md
