id,kind,status,detail,hash_algorithm,hash,path_relative_to_evidence_root
R1-15,gate,pass,"P3 provisioning: script fully written then single execution rc=0; one container/volume; three-identity grants per ledger",SHA-256,d718b2f7cba16d0933a17339390b840a8612435fe2687ec645a2b57f9a07dc3d,logs/provision_r1.log
R1-16,tool,recorded,"provisioning script (task script, secret-free; sources private material)",SHA-256,5c258f20c69c01741902b3a67d9a02bccbc0a4245295b02d0144c4ad88ee62e5,scripts/provision_stack_r1.sh
R1-17,finding,FAIL,"runtime precheck executed once, rc=1; sole failing item = port_map extraction (harness NameError); all substantive checks passed (identities, role flags, memberships=0, empty public, 4 privileges, no alembic_version, no reporting objects, migration log absent)",SHA-256,8955504420e3e51b126845238d942ffdece4bbfb5e475b85ae46e769d9f00af5,logs/runtime_precheck_r1.log
R1-18,tool,recorded,"runtime precheck script containing the extraction bug (retained for forensics)",SHA-256,5f4ef03fafa665ef85ed894fe2709d5499740c8b785a742db466caf4ed1edce4,scripts/runtime_precheck_r1.sh
R1-19,evidence,recorded,"container inspect captured before cleanup; independently proves port binding 127.0.0.1:55442, owner label, image postgres:16, POSTGRES_DB/POSTGRES_USER binding; redacted (1 password form) then re-scanned CLEAN",SHA-256,8c95cc2177b61c37d0125ae0bb72a22b73136789d9f542190d84d906e7422e79,logs/container_inspect_r1.json
R1-20,gate,pass,"cleanup: container+volume removed; port 55442 listeners=0; worktree removed (porcelain clean); credentials destroyed; env file sanitized 0600; existing containers delta = task container only",SHA-256,0538351d2ac6c9a2971e69f9305bdb3eb5ec7f30913f6a2db6eb768c399ec9cb,logs/cleanup_r1.log
R1-21,evidence,recorded,"docker ps snapshot before cleanup (10 containers incl. task)",SHA-256,6d516766a2c04cc77a3277d8636fb308ce037837ed70483b4acfcb47806f18a1,logs/docker_ps_before_cleanup_r1.log
R1-22,not_run,recorded,"formal 21-node lifecycle, 37 Running upgrade lines, run-identity bootstrap/read-write/cleanup, negative-control real order, R2 three sanitized exits: NOT_RUN (formal pytest never launched)",,,
R1-23,not_run,recorded,"LUBUNTU_MUTATION=NOT_RUN_THIS_ROUND (per authorization); guards full / four-file matrix / full backend / browser: out of scope this round",,,
R1-24,artifact,absent,"junit_r1.xml: never produced (no formal run); migration_log_r1.txt: never produced (no migration); recorded honestly as absent, not fabricated",,,
R1-25,disclosure,recorded,"leak: container inspect JSON contained 1 bootstrap password form via docker env; redacted; public dirs re-scanned with all secret forms (raw/quote/quote_plus) + SECRET_KEY -> CLEAN",,,
R1-26,known_product_red,retained,"duplicate-return RED and cache-isolation RED/SKIP remain registered; untouched and not cleared by this round",,,
R1-27,report_metadata,recorded,"all 64-hex hashes in this report are SHA-256; all 40-hex are Git object IDs; Kilo report's labeling of two Git blob object IDs as SHA-256 is a metadata issue recorded by CTO for archival correction",,,
R1-28,stop_record,recorded,"executor STOP_RECORD.md (this round, evidence root)",SHA-256,7e9e9be29a3010ae035dfee811e54b515e6e762aec4cc01726fe03f56e5e03d4,STOP_RECORD.md
